Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
ОФЗ 26223;Минфин России;об;26223RMFS;7710168360;SU26223RMFS6
ОФЗ 26224;Минфин России;об;26224RMFS;7710168360;SU26224RMFS4
ОФЗ 26225;Минфин России;об;26225RMFS;7710168360;SU26225RMFS1
ОФЗ 29006;Минфин России;об;29006RMFS;7710168360;SU29006RMFS2
ОФЗ 29007;Минфин России;об;29007RMFS;7710168360;SU29007RMFS0
ОФЗ 29008;Минфин России;об;29008RMFS;7710168360;SU29008RMFS8
ОФЗ 29009;Минфин России;об;29009RMFS;7710168360;SU29009RMFS6
ОФЗ 29010;Минфин России;об;29010RMFS;7710168360;SU29010RMFS4
ОФЗ 29011;Минфин России;об;29011RMFS;7710168360;SU29011RMFS2
ОФЗ 29012;Минфин России;об;29012RMFS;7710168360;SU29012RMFS0
ОФЗ 46018;Минфин России;об;46018RMFS;7710168360;SU46018RMFS6
ОФЗ 46020;Минфин России;об;46020RMFS;7710168360;SU46020RMFS2
ОФЗ 46022;Минфин России;об;46022RMFS;7710168360;SU46022RMFS8
ОФЗ 52001;Минфин России;об;52001RMFS;7710168360;SU52001RMFS3
ОФЗ 52002;Минфин России;об;52002RMFS;7710168360;SU52002RMFS1
ПИК БО-7;"ПАО ""Группа Компаний ПИК""";об;4B02-07-01556-A;7713011336;RU000A0JWP46
ПИК БО-П01;"ПАО ""Группа Компаний ПИК""";об;4B02-01-01556-A-001P;7713011336;RU000A0JXK40
ПИК БО-П02;"ПАО ""Группа Компаний ПИК""";об;4B02-02-01556-A-001P;7713011336;RU000A0JXQ93
ПИК БО-П03;"ПАО ""Группа Компаний ПИК""";об;4B02-03-01556-A-001P;7713011336;RU000A0JXY44
Пионер 1P3;"АО ""ГК ""Пионер""";об;4B02-03-67750-H-001P;7703635416;RU000A0ZZ547
ПионЛизБП1;"ООО ""Пионер-Лизинг""";об;4B02-01-00331-R-001P;2128702350;RU000A0ZZAT8
РЖД Б01P1R;"ОАО ""Российские железные дороги""";об;4B02-01-65045-D-001P;7708503727;RU000A0JXN05
РЖД-32 обл;"ОАО ""Российские железные дороги""";об;4-32-65045-D;7708503727;RU000A0JSGV0
Роснфт1P4;"ПАО ""НК ""Роснефть""";об;4B02-04-00122-A-001P;7706107510;RU000A0JXQK2
Роснфт2P4;"ПАО ""НК ""Роснефть""";об;4B02-04-00122-A-002P;7706107510;RU000A0ZYT40
Ростел1P3R;"ПАО ""Ростелеком""";об;4B02-03-00124-A-001P;7707049388;RU000A0ZYG52
РСГ-ФинБ3;"ООО ""РСГ-Финанс""";об;4B02-03-36399-R;7709858440;RU000A0ZYA74
РСГ-ФинБ4;"ООО ""РСГ-Финанс""";об;4B02-04-36399-R;7709858440;RU000A0ZYLB6
РСГ-ФинБ7;"ООО ""РСГ-Финанс""";об;4B02-07-36399-R;7709858440;RU000A0JXN13
РСХБ 01Т1;АО «Россельхозбанк»;об;42903349B;7725114488;RU000A0ZZ4T1
РСХБ 08Т1;АО «Россельхозбанк»;об;43603349B;7725114488;RU000A0JWV63
РСХБ 09Т1;АО «Россельхозбанк»;об;43703349B;7725114488;RU000A0ZZ505
РУСАЛБрБ01;"ПАО ""РУСАЛ Братск""";об;4B02-01-20075-F;3803100054;RU000A0JWDN6
СберБ Б12R;ПАО Сбербанк;об;4B021201481B001P;7707083893;RU000A0ZZBN9
СберБ БО18;ПАО Сбербанк;об;4B021801481B;7707083893;RU000A0JWH46
СберБ БО37;ПАО Сбербанк;об;4B023701481B;7707083893;RU000A0JWUE9
СберБ БО3R;ПАО Сбербанк;об;4B020301481B001P;7707083893;RU000A0ZYBS1
СберБ БО4R;ПАО Сбербанк;об;4B020401481B001P;7707083893;RU000A0ZYUJ0
СберБ БО6R;ПАО Сбербанк;об;4B020601481B001P;7707083893;RU000A0ZZ117
СЗД БО-1-2;"ООО МФК ""СЗД""";об;4B02-02-00321-R-001P;7730634468;RU000A0ZZ1F6
СилМашБО-2;"ПАО ""Силовые машины""";об;4B02-02-35909-H;7702080289;RU000A0JVVW1
СилМашБО-3;"ПАО ""Силовые машины""";об;4B02-03-35909-H;7702080289;RU000A0JWTW3
СилМашБО-4;"ПАО ""Силовые машины""";об;4B02-04-35909-H;7702080289;RU000A0JWTX1
