Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
iДонскЗР п;"ОАО ""ДЗРД""";ап;2-01-02677-A;7114001610;DZRDP       
iЗаводДИОД;"ПАО ""ДИОД""";aо;1-03-06923-A;7725024805;DIOD        
iИСКЧ ао;ПАО «ИСКЧ»;aо;1-01-08902-A;7702508905;ISKJ        
iЛевенгук;"ОАО ""Левенгук""";aо;1-01-04329-D;7839462305;LVHK        
iРоллман;"ПАО ""ГК ""Роллман""";aо;1-01-05257-D;7841445498;RLMN        
iРоллман-п;"ПАО ""ГК ""Роллман""";ап;2-01-05257-D;7841445498;RLMNP       
iФармсинтз;"ПАО ""Фармсинтез""";aо;1-02-09669-J;7801075160;LIFE        
АЛРОСА-Нюр;ПАО «АЛРОСА-Нюрба»;aо;1-01-20179-F;1419003844;ALNU        
Армада;ПАО «АРМАДА»;aо;1-01-10670-A;7702568982;ARMD        
Белон ао;"ОАО ""Белон""";aо;1-06-10167-F;5410102823;BLNG        
БурЗолото;"ПАО ""Бурятзолото""";aо;1-06-20577-F;323027345;BRZL        
Возрожд-ао;Банк «Возрождение» (ПАО);aо;10101439B;5000001042;VZRZ        
ВТОРРЕСао;"ПАО ""ВТОРРЕСУРСЫ""";aо;1-01-05287-D;7813510515;VTRS        
ВХЗ-ао;"ПАО ""ВХЗ""";aо;1-02-04847-A;3302000669;VLHZ        
ГАЗ ао;"ПАО ""ГАЗ""";aо;1-01-00029-A;5200000046;GAZA        
ГАЗ ап;"ПАО ""ГАЗ""";ап;2-02-00029-A;5200000046;GAZAP       
ДВМП ао;"ПАО ""ДВМП""";aо;1-03-00032-A;2540047110;FESH        
ЗИЛ ао;АМО ЗИЛ;aо;1-02-00036-A;7725043886;ZILL        
КамчатЭ ао;"ПАО ""Камчатскэнерго""";aо;1-02-00235-A;4100000668;KCHE        
Квадра-п;"ПАО ""Квадра""";ап;2-01-43069-A;6829012680;TGKDP       
КМЗ;ПАО «КМЗ»;aо;1-02-05376-A;3305004397;KMEZ        
КрасОкт-1п;"ПАО ""Красный Октябрь""";ап;2-01-00060-A;7706043263;KROTP       
КрасОкт-ао;"ПАО ""Красный Октябрь""";aо;1-02-00060-A;7706043263;KROT        
КузнецкийБ;ПАО Банк «Кузнецкий»;aо;10100609B;5836900162;KUZB        
Лензол. ап;ПАО «Лензолото»;ап;2-02-40433-N;3802000096;LNZLP       
Лензолото;ПАО «Лензолото»;aо;1-02-40433-N;3802000096;LNZL        
МедиаВиМ;"ОАО Медиа группа ""Война и Мир""";aо;1-01-00131-D;7813503571;MGVM        
Медиахолд;ПАО «Медиахолдинг»;aо;1-02-12479-A;7706662633;ODVA        
МордЭнСб;ПАО «Мордовэнергосбыт»;aо;1-01-55055-E;1326192645;MRSB        
МосОблБанк;ПАО МОСОБЛБАНК;aо;10101751B;7750005588;MOBB        
МРСК СК;"ПАО ""МРСК Северного Кавказа""";aо;1-01-34747-E;2632082033;MRKK        
МРСКСиб;"ПАО ""МРСК Сибири""";aо;1-01-12044-F;2460069527;MRKS        
ПермьЭнСб;ПАО «Пермэнергосбыт»;aо;1-01-55084-E;5904123809;PMSB        
ПермьЭнС-п;ПАО «Пермэнергосбыт»;ап;2-01-55084-E;5904123809;PMSBP       
Плазмек;ПАО «Плазмек»;aо;1-02-12625-A;7709732938;PLSM        
РБК ао;"ПАО ""РБК""";aо;1-02-56413-H;7728547955;RBCM        
РГС СК ао;"ПАО СК ""Росгосстрах""";aо;1-03-10003-Z;7707067683;RGSS        
РОСИНТЕРао;ПАО «РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ»;aо;1-02-55033-E;7722514880;ROST        
Русгрэйн;"ПАО ""Русгрэйн Холдинг""";aо;1-02-50043-H;7706533405;RUGR        
Русолово;ПАО «Русолово»;aо;1-01-15065-A;7706774915;ROLO        
Русполимет;"ПАО ""Русполимет""";aо;1-01-55157-E;5251008501;RUSP        
СаратЭн-ап;ПАО «Саратовэнерго»;ап;2-02-00132-A;6450014808;SAREP       
Сахэнер ао;"ПАО ""Сахалинэнерго""";aо;1-03-00272-A;6500000024;SLEN        
Селигдар-п;ПАО «Селигдар»;ап;2-01-32694-F;1402047184;SELGP       
СтаврЭнСб;ПАО «Ставропольэнергосбыт»;aо;1-01-50119-A;2626033550;STSB        
СтаврЭнСбп;ПАО «Ставропольэнергосбыт»;ап;2-01-50119-A;2626033550;STSBP       
Таттел. ао;"ПАО ""Таттелеком""";aо;1-02-50049-A;1681000024;TTLK        
ТГК-14;"ПАО ""ТГК-14""";aо;1-01-22451-F;7534018889;TGKN        
ТГК-2;"ПАО ""ТГК-2""";aо;1-01-10420-A;7606053324;TGKB        
ТГК-2 ап;"ПАО ""ТГК-2""";ап;2-01-10420-A;7606053324;TGKBP       
Телеграф-п;"ПАО ""Центральный Телеграф""";ап;2-03-00327-A;7710146208;CNTLP       
УралСиб ао;ПАО «БАНК УРАЛСИБ»;aо;10200030B;274062111;USBN        
Химпром ап;ПАО «Химпром»;ап;2-01-55076-D;2124009521;HIMCP       
ЧелябЭС ао;"ПАО ""Челябэнергосбыт""";aо;1-01-55059-E;7451213318;CLSB        
ЧелябЭС ап;"ПАО ""Челябэнергосбыт""";ап;2-01-55059-E;7451213318;CLSBP       
ЧМК ао;ПАО «ЧМК»;aо;1-01-00080-A;7450001007;CHMK        
Электрцинк;"ОАО ""Электроцинк""";aо;1-02-30394-E;1500000113;ELTZ        
ЮжКузб. ао;"ПАО ""Южный Кузбасс""";aо;1-02-10591-F;4214000608;UKUZ        
ЮТэйр ао;ПАО «Авиакомпания «ЮТэйр»;aо;1-01-00077-F;7204002873;UTAR        
Якутскэнрг;"ПАО ""Якутскэнерго""";aо;1-01-00304-A;1435028701;YKEN        
