Краткое наименование ценной бумаги;Краткое наименование эмитента ценной бумаги;Тип ценной бумаги;Гос. рег. номер ценной бумаги (при отсутствии - код ISIN);ИНН эмитента ценной бумаги;Торговый код ценной бумаги
BCS 02/21;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1783223206;;XS1783223206
BCS 07/19;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1327117633;;XS1327117633
BCS 08/21;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1859436070;;XS1859436070
BCS 10/22;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1820831607;;XS1820831607
BCS 12/18;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1327118284;;XS1327118284
BCS PFGR;BROKER CREDIT SERVICE STRUCTURED PRODUCTS;об;XS1675776014;;XS1675776014
BIN-19;B&N BONDS D.A.C.;об;XS1379311761;;XS1379311761
GAZPR-34;Gaz Capital;об;XS0191754729;;XS0191754729
PGIL-20;Polyus Finance Plc;об;XS0922301717;;XS0922301717
RUS-30;Минфин России;об;SK-0-CM-128;7710168360;XS0114288789
Sistema-19;Sistema International Funding;об;XS0783242877;;XS0783242877
VEB-22;VEB Finance;об;XS0800817073;;XS0800817073
АВТОБФ БП1;"АО ""АВТОБАН-Финанс""";об;4B02-01-82416-H-001P;7708813750;RU000A0JXQ51
Автодор1P2;"Государственная компания ""Автодор""";об;4B02-02-00011-T-001P;7717151380;RU000A0ZYKM5
Акрон Б1P2;"ПАО ""Акрон""";об;4B02-02-00207-A-001P;5321029508;RU000A0JXSS1
Акрон БО-3;"ПАО ""Акрон""";об;4B02-03-00207-A;5321029508;RU000A0JVYF0
АЛЬФА БО39;АО «АЛЬФА-БАНК»;об;4B023901326B;7728168971;RU000A0ZYWB3
АЛЬФА БО40;АО «АЛЬФА-БАНК»;об;4B024001326B;7728168971;RU000A0ZYU21
Альфа-Б2Р1;АО «АЛЬФА-БАНК»;об;4B020101326B002P;7728168971;RU000A0ZZEW4
АльфаБО-18;АО «АЛЬФА-БАНК»;об;4B021801326B;7728168971;RU000A0JX5W4
АльфаБО-22;АО «АЛЬФА-БАНК»;об;4B022201326B;7728168971;RU000A0ZYGB6
АшинМЗ БО1;"ПАО ""Ашинский метзавод""";об;4B02-01-45219-D;7401000473;RU000A0JUQC5
Башнефть06;"ПАО АНК ""Башнефть""";об;4-06-00013-A;274051582;RU000A0JTM28
БелгОб2014;Правительство Белгородской области;об;RU35008BEL0;3124016792;RU000A0JUQB7
БинбанкБ04;ПАО «БИНБАНК»;об;4B020402562B;5408117935;RU000A0JUFP0
БинбанкБ08;ПАО «БИНБАНК»;об;4B020802562B;5408117935;RU000A0JUFQ8
БинбанкБ14;ПАО «БИНБАНК»;об;4B021402562B;5408117935;RU000A0JVBS1
ВБРР Б1P1;"ОАО ""ВБРР""";об;4B020103287B001P;7736153344;RU000A0ZYCJ8
ВлгОб35005;Комитет финансов Волгоградской области;об;RU35005VLO0;3444130624;RU000A0JUP89
ВлгОб35007;Комитет финансов Волгоградской области;об;RU35007VLO0;3444130624;RU000A0JXSD3
ВСК 01P-01;"САО ""ВСК""";об;4B02-01-10202-Z-001P;7710026574;RU000A0JXNB8
ВТБ Б-1-6;Банк ВТБ (ПАО);об;4B020601000B001P;7702070139;RU000A0ZZBD0
ВТБ Б-1-8;Банк ВТБ (ПАО);об;4B020801000B001P;7702070139;RU000A0ZZH84
ВТБ БО-26;Банк ВТБ (ПАО);об;4B022601000B;7702070139;RU000A0JUQE1
ВТБ БО-30;Банк ВТБ (ПАО);об;4B023001000B;7702070139;RU000A0JV3Q3
ВТБ БО-43;Банк ВТБ (ПАО);об;4B024301000B;7702070139;RU000A0JU773
ВТОРРЕС Б1;"ПАО ""ВТОРРЕСУРСЫ""";об;4B02-01-05287-D;7813510515;RU000A0JW3R0
ВЦЗ 1P1R;"ОАО ""Верхнебаканский цементный завод""";об;4B02-01-31296-E-001P;2315076504;RU000A0ZYLK7
ВЭБ 06;Внешэкономбанк ;об;4-06-00004-T;7750004150;RU000A0JR3H8
ВЭБ 09;Внешэкономбанк ;об;4-09-00004-T;7750004150;RU000A0JRCX7
ВЭБ 19;Внешэкономбанк ;об;4-24-00004-T;7750004150;RU000A0JT6B2
ВЭБ 21;Внешэкономбанк ;об;4-26-00004-T;7750004150;RU000A0JS4Z7
ВЭБ Б04;Внешэкономбанк ;об;4B02-04-00004-T;7750004150;RU000A0JUD83
ВЭБ ПБО1Р2;Внешэкономбанк ;об;4B02-02-00004-T-001P;7750004150;RU000A0JWG96
