,Средний процент
AFKS,22.68
ALRS,20.14
FEES,20.09
FIVE,6.82
HYDR,27.34
IRAO,9.27
MAGN,21.18
MFON,7.22
MOEX,20.55
MSNG,23.81
MTLR,7.49
MTSS,28.94
NLMK,29.69
NVTK,32.47
OGKB,9.52
PHOR,33.56
PLZL,15.07
RASP,18.99
RSTI,16.71
RTKM,20.73
SIBN,16.99
SNGS,35.09
TATNP,26.96
TRNFP,20.93
UPRO,2.72
