TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,579520,148410,25.61
2018-10-02,525910,99020,18.83
2018-10-03,999300,236480,23.66
2018-10-04,708690,181020,25.54
2018-10-05,520930,143660,27.58
2018-10-08,520830,165640,31.8
2018-10-09,750270,197490,26.32
2018-10-10,1074700,326520,30.38
2018-10-11,1319130,471640,35.75
2018-10-12,1046180,402400,38.46
2018-10-15,506930,190960,37.67
2018-10-16,524020,176380,33.66
2018-10-17,1045990,268160,25.64
2018-10-18,786910,221660,28.17
2018-10-19,1100760,326180,29.63
2018-10-22,1004380,401910,40.02
2018-10-23,936090,347240,37.09
2018-10-24,1478610,497160,33.62
2018-10-25,970120,354030,36.49
2018-10-26,625050,211160,33.78
2018-10-29,731510,263450,36.01
2018-10-30,846380,242590,28.66
2018-10-31,1173320,304130,25.92
2018-11-01,1481670,444580,30.01
2018-11-02,924840,311770,33.71
2018-11-06,536550,206240,38.44
2018-11-07,1148480,333750,29.06
2018-11-08,1075270,448780,41.74
2018-11-09,823480,293650,35.66
2018-11-12,819950,323920,39.5
2018-11-13,1136190,357950,31.5
2018-11-14,1391730,414540,29.79
2018-11-15,750790,270960,36.09
2018-11-16,533930,143720,26.92
2018-11-19,994190,241610,24.3
2018-11-20,1299800,404520,31.12
2018-11-21,762950,228240,29.92
2018-11-22,544100,167600,30.8
2018-11-23,596450,220820,37.02
2018-11-26,1328590,453510,34.13
2018-11-27,712090,259500,36.44
2018-11-28,763700,249710,32.7
2018-11-29,1337680,429000,32.07
2018-11-30,994790,270880,27.23
2018-12-03,989970,351670,35.52
2018-12-04,419750,150140,35.77
2018-12-05,513010,188480,36.74
2018-12-06,614180,263720,42.94
2018-12-07,712070,237290,33.32
2018-12-10,586960,219340,37.37
2018-12-11,799870,271150,33.9
2018-12-12,749280,276060,36.84
2018-12-13,737190,297200,40.32
2018-12-14,612610,217980,35.58
2018-12-17,441720,129120,29.23
2018-12-18,671160,258260,38.48
2018-12-19,469820,153770,32.73
2018-12-20,1255210,344180,27.42
2018-12-21,693060,144830,20.9
