TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,839310,230860,27.51
2018-10-02,290490,85840,29.55
2018-10-03,745550,161970,21.72
2018-10-04,1219200,214880,17.62
2018-10-05,312300,71820,23.0
2018-10-08,566420,116560,20.58
2018-10-09,677460,130470,19.26
2018-10-10,664520,103220,15.53
2018-10-11,849180,172080,20.26
2018-10-12,343450,110950,32.3
2018-10-15,427140,73460,17.2
2018-10-16,285130,56870,19.95
2018-10-17,209790,63810,30.42
2018-10-18,137100,32820,23.94
2018-10-19,105000,27520,26.21
2018-10-22,150050,23230,15.48
2018-10-23,458820,86780,18.91
2018-10-24,186270,45520,24.44
2018-10-25,160100,39720,24.81
2018-10-26,212340,65000,30.61
2018-10-29,167970,55710,33.17
2018-10-30,404470,107650,26.62
2018-10-31,298890,70390,23.55
2018-11-01,246270,50080,20.34
2018-11-02,243780,50010,20.51
2018-11-06,555240,92430,16.65
2018-11-07,207440,44260,21.34
2018-11-08,399890,71160,17.79
2018-11-09,203280,37760,18.58
2018-11-12,357640,78110,21.84
2018-11-13,479680,72630,15.14
2018-11-14,209780,56020,26.7
2018-11-15,204550,52040,25.44
2018-11-16,201790,57110,28.3
2018-11-19,164760,57220,34.73
2018-11-20,257400,70540,27.4
2018-11-21,350230,70830,20.22
2018-11-22,245400,49130,20.02
2018-11-23,431700,144810,33.54
2018-11-26,551630,209650,38.01
2018-11-27,284120,97240,34.22
2018-11-28,332650,143570,43.16
2018-11-29,274610,115450,42.04
2018-11-30,160580,76380,47.57
2018-12-03,473920,147350,31.09
2018-12-04,379870,109990,28.95
2018-12-05,315770,104540,33.11
2018-12-06,437730,146870,33.55
2018-12-07,554360,181370,32.72
2018-12-10,134210,50170,37.38
2018-12-11,191000,59570,31.19
2018-12-12,119790,38670,32.28
2018-12-13,196550,72880,37.08
2018-12-14,153020,55750,36.43
2018-12-17,136030,32090,23.59
2018-12-18,269700,83070,30.8
2018-12-19,473650,119420,25.21
2018-12-20,281680,103510,36.75
2018-12-21,418050,101650,24.32
