TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,29662,12509,42.17
2018-10-02,17810,7776,43.66
2018-10-03,64078,23953,37.38
2018-10-04,58241,20684,35.51
2018-10-05,18167,7413,40.8
2018-10-08,23976,7604,31.72
2018-10-09,34811,12570,36.11
2018-10-10,64419,22187,34.44
2018-10-11,57014,24419,42.83
2018-10-12,14795,5536,37.42
2018-10-15,8307,3078,37.05
2018-10-16,31566,9765,30.94
2018-10-17,31753,12582,39.62
2018-10-18,44929,18493,41.16
2018-10-19,45286,17487,38.61
2018-10-22,27352,9832,35.95
2018-10-23,44666,19533,43.73
2018-10-24,63495,26053,41.03
2018-10-25,36621,14025,38.3
2018-10-26,33931,14027,41.34
2018-10-29,12743,4503,35.34
2018-10-30,26241,9537,36.34
2018-10-31,39120,14331,36.63
2018-11-01,28123,10828,38.5
2018-11-02,17670,6857,38.81
2018-11-06,26001,9742,37.47
2018-11-07,23061,7809,33.86
2018-11-08,12981,5589,43.06
2018-11-09,22288,8702,39.04
2018-11-12,31998,13597,42.49
2018-11-13,26384,9104,34.51
2018-11-14,38358,8957,23.35
2018-11-15,14360,5144,35.82
2018-11-16,26027,6527,25.08
2018-11-19,27089,11021,40.68
2018-11-20,74083,20203,27.27
2018-11-21,124128,28173,22.7
2018-11-22,35482,6893,19.43
2018-11-23,33751,10628,31.49
2018-11-26,70402,19084,27.11
2018-11-27,55522,10759,19.38
2018-11-28,42275,14781,34.96
2018-11-29,47484,20579,43.34
2018-11-30,42590,21239,49.87
2018-12-03,18671,5705,30.56
2018-12-04,32177,10325,32.09
2018-12-05,20580,7626,37.06
2018-12-06,12705,4167,32.8
2018-12-07,52170,14127,27.08
2018-12-10,18133,6337,34.95
2018-12-11,42867,13752,32.08
2018-12-12,34530,9144,26.48
2018-12-13,32819,7892,24.05
2018-12-14,79693,22530,28.27
2018-12-17,29884,5143,17.21
2018-12-18,53133,8552,16.1
2018-12-19,72216,12956,17.94
2018-12-20,95301,19089,20.03
2018-12-21,78825,13604,17.26
