TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,24896500,6090000,24.46
2018-10-02,15765400,5108500,32.4
2018-10-03,13193800,3322700,25.18
2018-10-04,9569600,2400400,25.08
2018-10-05,15094500,3860000,25.57
2018-10-08,16986400,5079100,29.9
2018-10-09,12666100,3118600,24.62
2018-10-10,10505700,2919200,27.79
2018-10-11,20875300,5595800,26.81
2018-10-12,7733700,2516600,32.54
2018-10-15,13315200,2878800,21.62
2018-10-16,12051700,2956200,24.53
2018-10-17,6540300,1590800,24.32
2018-10-18,6948100,1958300,28.18
2018-10-19,11448500,2303500,20.12
2018-10-22,6989100,2082400,29.79
2018-10-23,17286300,3293600,19.05
2018-10-24,9423500,2102900,22.32
2018-10-25,7536000,1638900,21.75
2018-10-26,17454900,3909300,22.4
2018-10-29,10976900,3120700,28.43
2018-10-30,5827300,1392300,23.89
2018-10-31,6097400,1935800,31.75
2018-11-01,9633000,1346700,13.98
2018-11-02,10397100,2261300,21.75
2018-11-06,5594100,689000,12.32
2018-11-07,5648700,1082100,19.16
2018-11-08,12532500,2588500,20.65
2018-11-09,8894200,1728700,19.44
2018-11-12,6233800,942300,15.12
2018-11-13,7430900,981400,13.21
2018-11-14,7320800,1165400,15.92
2018-11-15,8645300,1506800,17.43
2018-11-16,12593500,3592100,28.52
2018-11-19,4535600,784000,17.29
2018-11-20,14293200,1614200,11.29
2018-11-21,7715800,1114900,14.45
2018-11-22,5160000,816000,15.81
2018-11-23,5923200,941200,15.89
2018-11-26,8134100,1573000,19.34
2018-11-27,18137000,2779000,15.32
2018-11-28,52974200,9460500,17.86
2018-11-29,19190900,3083400,16.07
2018-11-30,14886400,3491900,23.46
2018-12-03,18395800,4484900,24.38
2018-12-04,9458000,2676800,28.3
2018-12-05,9991100,3137400,31.4
2018-12-06,8477900,1594200,18.8
2018-12-07,11582500,3182800,27.48
2018-12-10,13257600,3046400,22.98
2018-12-11,9801500,2348300,23.96
2018-12-12,7246100,1057300,14.59
2018-12-13,7259300,1172700,16.15
2018-12-14,9902100,1919200,19.38
2018-12-17,7076300,2112700,29.86
2018-12-18,8365500,2300800,27.5
2018-12-19,8526600,3436700,40.31
2018-12-20,8378900,2687400,32.07
2018-12-21,15704600,3791700,24.14
