TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,861610000,153030000,17.76
2018-10-02,2533180000,695270000,27.45
2018-10-03,1465460000,304360000,20.77
2018-10-04,1260340000,249520000,19.8
2018-10-05,1572390000,247210000,15.72
2018-10-08,1106500000,226630000,20.48
2018-10-09,896420000,209780000,23.4
2018-10-10,2789120000,222580000,7.98
2018-10-11,2767380000,612310000,22.13
2018-10-12,1831050000,297950000,16.27
2018-10-15,1016990000,287380000,28.26
2018-10-16,948940000,271860000,28.65
2018-10-17,618950000,151710000,24.51
2018-10-18,802040000,182400000,22.74
2018-10-19,942950000,214520000,22.75
2018-10-22,976330000,200770000,20.56
2018-10-23,1765850000,297230000,16.83
2018-10-24,1487330000,265450000,17.85
2018-10-25,1186400000,264620000,22.3
2018-10-26,1061610000,272210000,25.64
2018-10-29,892180000,220260000,24.69
2018-10-30,963070000,339480000,35.25
2018-10-31,1120480000,223370000,19.94
2018-11-01,1544580000,559400000,36.22
2018-11-02,634740000,195690000,30.83
2018-11-06,869850000,170940000,19.65
2018-11-07,886210000,188070000,21.22
2018-11-08,622570000,128860000,20.7
2018-11-09,719690000,157970000,21.95
2018-11-12,508890000,86490000,17.0
2018-11-13,725270000,106530000,14.69
2018-11-14,988570000,123000000,12.44
2018-11-15,492400000,105440000,21.41
2018-11-16,815980000,143780000,17.62
2018-11-19,807140000,102630000,12.72
2018-11-20,889070000,190800000,21.46
2018-11-21,501540000,94580000,18.86
2018-11-22,701630000,92030000,13.12
2018-11-23,707170000,92680000,13.11
2018-11-26,1047680000,162030000,15.47
2018-11-27,634080000,92080000,14.52
2018-11-28,1365210000,191350000,14.02
2018-11-29,1402730000,298320000,21.27
2018-11-30,777880000,141720000,18.22
2018-12-03,578850000,147660000,25.51
2018-12-04,1034580000,215620000,20.84
2018-12-05,582460000,155930000,26.77
2018-12-06,671930000,140120000,20.85
2018-12-07,406290000,91510000,22.52
2018-12-10,999150000,183470000,18.36
2018-12-11,1128860000,129760000,11.49
2018-12-12,753200000,159050000,21.12
2018-12-13,675510000,121480000,17.98
2018-12-14,992570000,108440000,10.93
2018-12-17,1098300000,223360000,20.34
2018-12-18,766500000,143800000,18.76
2018-12-19,1059510000,163500000,15.43
2018-12-20,1515750000,350900000,23.15
2018-12-21,847400000,109540000,12.93
