TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,554980,63871,11.51
2018-10-02,969267,75988,7.84
2018-10-03,1195354,68165,5.7
2018-10-04,640560,47236,7.37
2018-10-05,594063,30097,5.07
2018-10-08,395103,53613,13.57
2018-10-09,763224,55979,7.33
2018-10-10,634974,20148,3.17
2018-10-11,1234944,114048,9.24
2018-10-12,433641,30004,6.92
2018-10-15,804720,30478,3.79
2018-10-16,302583,39891,13.18
2018-10-17,653680,53328,8.16
2018-10-18,623359,52597,8.44
2018-10-19,425909,25627,6.02
2018-10-22,420263,46058,10.96
2018-10-23,894270,88927,9.94
2018-10-24,1062928,85380,8.03
2018-10-25,703892,42042,5.97
2018-10-26,567564,35222,6.21
2018-10-29,733179,47387,6.46
2018-10-30,321995,26148,8.12
2018-10-31,443749,65260,14.71
2018-11-01,774639,77475,10.0
2018-11-02,374476,30984,8.27
2018-11-06,508637,31105,6.12
2018-11-07,751130,37878,5.04
2018-11-08,729955,33134,4.54
2018-11-09,412968,51644,12.51
2018-11-12,585543,33386,5.7
2018-11-13,420995,57616,13.69
2018-11-14,816774,25808,3.16
2018-11-15,2360256,154678,6.55
2018-11-16,856935,72577,8.47
2018-11-19,781493,65057,8.32
2018-11-20,516210,30550,5.92
2018-11-21,1057397,61248,5.79
2018-11-22,759801,59083,7.78
2018-11-23,633127,53188,8.4
2018-11-26,708634,101149,14.27
2018-11-27,2424132,235944,9.73
2018-11-28,931413,72168,7.75
2018-11-29,701167,68647,9.79
2018-11-30,418591,38216,9.13
2018-12-03,674310,53939,8.0
2018-12-04,691651,22758,3.29
2018-12-05,441424,47477,10.76
2018-12-06,1325892,50665,3.82
2018-12-07,906902,39835,4.39
2018-12-10,778457,37360,4.8
2018-12-11,549407,26681,4.86
2018-12-12,533634,26097,4.89
2018-12-13,480002,37543,7.82
2018-12-14,556187,38273,6.88
2018-12-17,793542,58261,7.34
2018-12-18,1329940,77019,5.79
2018-12-19,688097,24408,3.55
2018-12-20,1209307,57697,4.77
2018-12-21,1256572,32445,2.58
