TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,3075000,841400,27.36
2018-10-02,5918300,1237400,20.91
2018-10-03,11262600,2954800,26.24
2018-10-04,6244600,1826000,29.24
2018-10-05,6962600,1472300,21.15
2018-10-08,6191400,1608000,25.97
2018-10-09,4695200,1024800,21.83
2018-10-10,11969400,2246000,18.76
2018-10-11,12174100,2773100,22.78
2018-10-12,6970800,1770600,25.4
2018-10-15,4754500,934600,19.66
2018-10-16,6163700,1832900,29.74
2018-10-17,4530500,999300,22.06
2018-10-18,6975000,1244200,17.84
2018-10-19,9246100,1805200,19.52
2018-10-22,12006300,2503600,20.85
2018-10-23,8105700,1879100,23.18
2018-10-24,9892800,1499700,15.16
2018-10-25,8225300,2008400,24.42
2018-10-26,8380300,1602700,19.12
2018-10-29,3268600,503600,15.41
2018-10-30,5147500,775600,15.07
2018-10-31,5156100,756800,14.68
2018-11-01,6274300,1268900,20.22
2018-11-02,9136000,1725600,18.89
2018-11-06,15261100,2361400,15.47
2018-11-07,19407400,3607500,18.59
2018-11-08,11593900,2786000,24.03
2018-11-09,13398800,2293300,17.12
2018-11-12,4595900,1202600,26.17
2018-11-13,6029600,1047000,17.36
2018-11-14,6832400,987800,14.46
2018-11-15,5428900,1078500,19.87
2018-11-16,3560600,758700,21.31
2018-11-19,6731000,1135300,16.87
2018-11-20,10878000,2376400,21.85
2018-11-21,11920900,2531300,21.23
2018-11-22,11124800,2295300,20.63
2018-11-23,6370600,2341000,36.75
2018-11-26,8485800,1711200,20.17
2018-11-27,6817700,1307200,19.17
2018-11-28,14146800,2657700,18.79
2018-11-29,12119100,1714400,14.15
2018-11-30,17305200,1950700,11.27
2018-12-03,26053300,4874900,18.71
2018-12-04,6437400,1414400,21.97
2018-12-05,12265000,2304600,18.79
2018-12-06,9730900,2083900,21.42
2018-12-07,13048400,2865100,21.96
2018-12-10,10095200,3495600,34.63
2018-12-11,11383500,2374500,20.86
2018-12-12,9611900,1878800,19.55
2018-12-13,10827000,2746500,25.37
2018-12-14,10079800,2351300,23.33
2018-12-17,8326500,1648300,19.8
2018-12-18,24517400,4343900,17.72
2018-12-19,11127000,2834400,25.47
2018-12-20,7081900,1930400,27.26
2018-12-21,8080000,1792000,22.18
