TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,8623100,1451500,16.83
2018-10-02,5803400,1066800,18.38
2018-10-03,7633600,1059400,13.88
2018-10-04,10878500,1958000,18.0
2018-10-05,8311800,1360900,16.37
2018-10-08,8051000,2078500,25.82
2018-10-09,9116500,1392300,15.27
2018-10-10,7904400,1337800,16.92
2018-10-11,24937700,4953100,19.86
2018-10-12,15884800,2632900,16.57
2018-10-15,7398500,2053300,27.75
2018-10-16,15979400,3112800,19.48
2018-10-17,13151900,2609700,19.84
2018-10-18,10558300,2654000,25.14
2018-10-19,8775400,2264700,25.81
2018-10-22,12141600,2620200,21.58
2018-10-23,16152400,5258800,32.56
2018-10-24,20087800,3414000,17.0
2018-10-25,16524900,3622800,21.92
2018-10-26,13940900,3110700,22.31
2018-10-29,8488600,1989800,23.44
2018-10-30,9166000,1731800,18.89
2018-10-31,12675600,1718600,13.56
2018-11-01,13082600,1629400,12.45
2018-11-02,10396200,1328600,12.78
2018-11-06,5087910,617420,12.14
2018-11-07,8369200,1494710,17.86
2018-11-08,14056400,2962430,21.08
2018-11-09,17423830,2929870,16.82
2018-11-12,8238760,1405230,17.06
2018-11-13,15276960,2347340,15.37
2018-11-14,11865840,1831340,15.43
2018-11-15,10641990,1995990,18.76
2018-11-16,9356370,1735460,18.55
2018-11-19,13657320,2356850,17.26
2018-11-20,9704740,2221970,22.9
2018-11-21,8819690,2106660,23.89
2018-11-22,6015110,1644490,27.34
2018-11-23,6321140,1617770,25.59
2018-11-26,7690510,1651250,21.47
2018-11-27,7899830,1471500,18.63
2018-11-28,12882040,2630980,20.42
2018-11-29,8287220,1266630,15.28
2018-11-30,17464200,2289800,13.11
2018-12-03,15674230,3881470,24.76
2018-12-04,13613310,2712330,19.92
2018-12-05,7198960,1802990,25.05
2018-12-06,4387500,1376930,31.38
2018-12-07,8130920,1941050,23.87
2018-12-10,10177800,2153150,21.16
2018-12-11,13933430,3185450,22.86
2018-12-12,8325140,2075600,24.93
2018-12-13,11563590,2788000,24.11
2018-12-14,7436430,1193850,16.05
2018-12-17,5211100,1292760,24.81
2018-12-18,13356320,2802390,20.98
2018-12-19,7412670,1676510,22.62
2018-12-20,12197200,2661270,21.82
2018-12-21,11140740,1392580,12.5
