TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,15853500,6792000,42.84
2018-10-02,10028500,3706200,36.96
2018-10-03,18108000,5905300,32.61
2018-10-04,28032900,9189500,32.78
2018-10-05,13158600,5686800,43.22
2018-10-08,9950900,3253800,32.7
2018-10-09,19075300,5788900,30.35
2018-10-10,14074000,3936900,27.97
2018-10-11,17238900,6066200,35.19
2018-10-12,9375100,2364400,25.22
2018-10-15,8248300,2811500,34.09
2018-10-16,8402400,3821200,45.48
2018-10-17,10203700,2607800,25.56
2018-10-18,11966500,4293000,35.88
2018-10-19,11126700,4051400,36.41
2018-10-22,10390900,4535400,43.65
2018-10-23,15058500,5224000,34.69
2018-10-24,13476900,5064300,37.58
2018-10-25,21708300,7398300,34.08
2018-10-26,12034700,4528600,37.63
2018-10-29,6598800,2233700,33.85
2018-10-30,14646900,5179000,35.36
2018-10-31,21198600,5587500,26.36
2018-11-01,21370300,6066300,28.39
2018-11-02,12844700,3751400,29.21
2018-11-06,16723600,4982000,29.79
2018-11-07,18774600,6128000,32.64
2018-11-08,11542900,4011500,34.75
2018-11-09,14314100,4317100,30.16
2018-11-12,8769400,2922800,33.33
2018-11-13,9663800,3274400,33.88
2018-11-14,13182000,5288400,40.12
2018-11-15,9453200,3519000,37.23
2018-11-16,7260500,2164700,29.81
2018-11-19,14096000,4162500,29.53
2018-11-20,13685500,4918000,35.94
2018-11-21,9713600,4094300,42.15
2018-11-22,11985800,4326100,36.09
2018-11-23,8727100,4209900,48.24
2018-11-26,14767700,7462200,50.53
2018-11-27,10056200,5251900,52.23
2018-11-28,9678400,4499600,46.49
2018-11-29,14406500,6683600,46.39
2018-11-30,15989200,3433100,21.47
2018-12-03,17370900,7925400,45.62
2018-12-04,10225400,2353200,23.01
2018-12-05,15412800,5656000,36.7
2018-12-06,17638300,5401200,30.62
2018-12-07,8755800,3518500,40.18
2018-12-10,7408600,2512300,33.91
2018-12-11,9230800,3284500,35.58
2018-12-12,10913800,3454500,31.65
2018-12-13,10190800,3599900,35.32
2018-12-14,6762900,2658500,39.31
2018-12-17,14629600,6062900,41.44
2018-12-18,18957200,6593300,34.78
2018-12-19,16256400,5130100,31.56
2018-12-20,25764300,8195700,31.81
2018-12-21,31728500,3228800,10.18
