TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,390020,90860,23.3
2018-10-02,366330,48140,13.14
2018-10-03,581700,58620,10.08
2018-10-04,518410,90960,17.55
2018-10-05,339470,41880,12.34
2018-10-08,307700,57590,18.72
2018-10-09,467700,72220,15.44
2018-10-10,380060,65680,17.28
2018-10-11,739340,86800,11.74
2018-10-12,194050,37460,19.3
2018-10-15,299520,58490,19.53
2018-10-16,175990,34670,19.7
2018-10-17,199600,37240,18.66
2018-10-18,357830,61320,17.14
2018-10-19,326890,39490,12.08
2018-10-22,249300,48430,19.43
2018-10-23,182880,39350,21.52
2018-10-24,279140,48970,17.54
2018-10-25,308870,71730,23.22
2018-10-26,211930,30640,14.46
2018-10-29,182040,28350,15.57
2018-10-30,175880,26670,15.16
2018-10-31,238680,29900,12.53
2018-11-01,125550,12750,10.16
2018-11-02,444730,27460,6.17
2018-11-06,520920,46130,8.86
2018-11-07,285440,40990,14.36
2018-11-08,345820,39160,11.32
2018-11-09,419500,58480,13.94
2018-11-12,175640,27990,15.94
2018-11-13,692530,89260,12.89
2018-11-14,818620,106330,12.99
2018-11-15,310130,65840,21.23
2018-11-16,416720,79820,19.15
2018-11-19,518430,47470,9.16
2018-11-20,535050,52090,9.74
2018-11-21,538020,135860,25.25
2018-11-22,365560,109170,29.86
2018-11-23,512500,97400,19.0
2018-11-26,427950,91540,21.39
2018-11-27,364360,81620,22.4
2018-11-28,343130,64710,18.86
2018-11-29,527110,128860,24.45
2018-11-30,366740,56930,15.52
2018-12-03,822070,231990,28.22
2018-12-04,668750,100810,15.07
2018-12-05,410360,68520,16.7
2018-12-06,922740,259750,28.15
2018-12-07,709450,124180,17.5
2018-12-10,572270,116080,20.28
2018-12-11,618900,101700,16.43
2018-12-12,330020,82460,24.99
2018-12-13,363570,96330,26.5
2018-12-14,443110,125950,28.42
2018-12-17,402610,58860,14.62
2018-12-18,752130,88600,11.78
2018-12-19,598470,37550,6.27
2018-12-20,585190,34860,5.96
2018-12-21,541080,72080,13.32
