TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,7431330,1299660,17.49
2018-10-02,3570570,893260,25.02
2018-10-03,9191030,1660240,18.06
2018-10-04,6445280,1496490,23.22
2018-10-05,6494760,1253690,19.3
2018-10-08,5492180,1159780,21.12
2018-10-09,8334540,1923270,23.08
2018-10-10,4834180,982350,20.32
2018-10-11,7007380,1846120,26.35
2018-10-12,4584410,1236600,26.97
2018-10-15,2874410,590960,20.56
2018-10-16,8406230,1396490,16.61
2018-10-17,5180090,1082790,20.9
2018-10-18,14353580,3253870,22.67
2018-10-19,7540530,1558670,20.67
2018-10-22,15528640,2690950,17.33
2018-10-23,11728930,3348490,28.55
2018-10-24,11418830,1670490,14.63
2018-10-25,6117280,1222150,19.98
2018-10-26,17043870,3141640,18.43
2018-10-29,10356390,1736000,16.76
2018-10-30,15243910,2235750,14.67
2018-10-31,10110940,2066310,20.44
2018-11-01,6362420,912160,14.34
2018-11-02,10569780,1370530,12.97
2018-11-06,11748460,2435890,20.73
2018-11-07,11850800,2294560,19.36
2018-11-08,9382340,1468670,15.65
2018-11-09,8369320,1931360,23.08
2018-11-12,4587340,1052290,22.94
2018-11-13,8716140,1331360,15.27
2018-11-14,14468090,2725330,18.84
2018-11-15,7791960,1768190,22.69
2018-11-16,4177410,995560,23.83
2018-11-19,8916130,1789200,20.07
2018-11-20,7324270,2144420,29.28
2018-11-21,11171670,2846980,25.48
2018-11-22,7619100,2169110,28.47
2018-11-23,5318350,1535020,28.86
2018-11-26,5509120,1253180,22.75
2018-11-27,7413080,1502590,20.27
2018-11-28,6261330,1484180,23.7
2018-11-29,8425650,2472050,29.34
2018-11-30,5782190,849770,14.7
2018-12-03,7397800,1382250,18.68
2018-12-04,7434860,1627600,21.89
2018-12-05,5873980,1355280,23.07
2018-12-06,4218920,1091380,25.87
2018-12-07,6758770,1254570,18.56
2018-12-10,5466350,1051680,19.24
2018-12-11,5002500,945560,18.9
2018-12-12,6697790,1214140,18.13
2018-12-13,6154630,1023650,16.63
2018-12-14,6382320,1249960,19.58
2018-12-17,9285880,1654630,17.82
2018-12-18,10034540,1595400,15.9
2018-12-19,8832200,1700840,19.26
2018-12-20,8273960,1790120,21.64
2018-12-21,7741790,881500,11.39
