TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,84578000,9644000,11.4
2018-10-02,99523000,7514000,7.55
2018-10-03,114853000,4233000,3.69
2018-10-04,238669000,8068000,3.38
2018-10-05,71693000,4498000,6.27
2018-10-08,115597000,7100000,6.14
2018-10-09,101029000,3690000,3.65
2018-10-10,87417000,1639000,1.87
2018-10-11,121481000,12362000,10.18
2018-10-12,39408000,4342000,11.02
2018-10-15,78561000,5173000,6.58
2018-10-16,32733000,3967000,12.12
2018-10-17,27403000,2609000,9.52
2018-10-18,21577000,588000,2.73
2018-10-19,55752000,4879000,8.75
2018-10-22,49936000,4482000,8.98
2018-10-23,61475000,3550000,5.77
2018-10-24,49698000,8057000,16.21
2018-10-25,21268000,1566000,7.36
2018-10-26,38514000,1993000,5.17
2018-10-29,44207000,2925000,6.62
2018-10-30,33778000,3002000,8.89
2018-10-31,19906000,2082000,10.46
2018-11-01,21794000,2619000,12.02
2018-11-02,23269000,955000,4.1
2018-11-06,28949000,1713000,5.92
2018-11-07,27907000,2820000,10.1
2018-11-08,28459000,2293000,8.06
2018-11-09,36155000,3345000,9.25
2018-11-12,18630000,1876000,10.07
2018-11-13,28037000,951000,3.39
2018-11-14,34919000,803000,2.3
2018-11-15,36354000,1726000,4.75
2018-11-16,29196000,0,0.0
2018-11-19,24118000,1482000,6.14
2018-11-20,69977000,3624000,5.18
2018-11-21,26168000,1390000,5.31
2018-11-22,14711000,443000,3.01
2018-11-23,27570000,1583000,5.74
2018-11-26,119310000,1545000,1.29
2018-11-27,48615000,2105000,4.33
2018-11-28,19951000,0,0.0
2018-11-29,113479000,9031000,7.96
2018-11-30,104171000,17392000,16.7
2018-12-03,100726000,16613000,16.49
2018-12-04,60598000,10783000,17.79
2018-12-05,21941000,4193000,19.11
2018-12-06,32144000,5966000,18.56
2018-12-07,38591000,8045000,20.85
2018-12-10,68329000,11066000,16.2
2018-12-11,23524000,4329000,18.4
2018-12-12,116709000,7805000,6.69
2018-12-13,17033000,5845000,34.32
2018-12-14,48239000,6964000,14.44
2018-12-17,32968000,9689000,29.39
2018-12-18,57000000,8073000,14.16
2018-12-19,50841000,4854000,9.55
2018-12-20,91956000,11937000,12.98
2018-12-21,119797000,15337000,12.8
