TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,27598000,9962000,36.1
2018-10-02,1057417000,298177000,28.2
2018-10-03,996459000,277933000,27.89
2018-10-04,1691817000,426076000,25.18
2018-10-05,240874000,65405000,27.15
2018-10-08,192990000,49774000,25.79
2018-10-09,187189000,38624000,20.63
2018-10-10,188722000,37715000,19.98
2018-10-11,296592000,54944000,18.53
2018-10-12,122697000,26469000,21.57
2018-10-15,168769000,35036000,20.76
2018-10-16,327278000,47897000,14.63
2018-10-17,156598000,23306000,14.88
2018-10-18,186400000,28316000,15.19
2018-10-19,138674000,22646000,16.33
2018-10-22,198370000,31930000,16.1
2018-10-23,173209000,30384000,17.54
2018-10-24,118167000,14321000,12.12
2018-10-25,98183000,17138000,17.46
2018-10-26,169489000,24585000,14.51
2018-10-29,137461000,26480000,19.26
2018-10-30,50385000,10308000,20.46
2018-10-31,164099000,25002000,15.24
2018-11-01,129467000,18514000,14.3
2018-11-02,59479000,7178000,12.07
2018-11-06,301672000,33688000,11.17
2018-11-07,202449000,20761000,10.25
2018-11-08,128231000,13077000,10.2
2018-11-09,135954000,8945000,6.58
2018-11-12,78205000,5900000,7.54
2018-11-13,81559000,9516000,11.67
2018-11-14,96589000,7266000,7.52
2018-11-15,121721000,8841000,7.26
2018-11-16,87967000,11324000,12.87
2018-11-19,106219000,20550000,19.35
2018-11-20,137394000,13131000,9.56
2018-11-21,94524000,11605000,12.28
2018-11-22,75227000,11665000,15.51
2018-11-23,154944000,12013000,7.75
2018-11-26,102575000,9135000,8.91
2018-11-27,35315000,6512000,18.44
2018-11-28,67882000,5431000,8.0
2018-11-29,220098000,35061000,15.93
2018-11-30,363541000,82804000,22.78
2018-12-03,197943000,40490000,20.46
2018-12-04,148192000,25132000,16.96
2018-12-05,89818000,18138000,20.19
2018-12-06,61136000,14168000,23.17
2018-12-07,93768000,15218000,16.23
2018-12-10,89877000,19787000,22.02
2018-12-11,109616000,18840000,17.19
2018-12-12,172569000,26608000,15.42
2018-12-13,60074000,9879000,16.44
2018-12-14,61610000,9080000,14.74
2018-12-17,57866000,9216000,15.93
2018-12-18,78377000,15309000,19.53
2018-12-19,143559000,25296000,17.62
2018-12-20,108171000,22203000,20.53
2018-12-21,184947000,25405000,13.74
