TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,969410,255030,26.31
2018-10-02,1536220,280870,18.28
2018-10-03,1619540,387380,23.92
2018-10-04,2190620,422680,19.29
2018-10-05,2880310,520010,18.05
2018-10-08,1637610,343990,21.01
2018-10-09,2217650,551780,24.88
2018-10-10,2415560,420980,17.43
2018-10-11,2325420,404700,17.4
2018-10-12,932830,226670,24.3
2018-10-15,1113370,274030,24.61
2018-10-16,2659040,427010,16.06
2018-10-17,1744980,364260,20.87
2018-10-18,708640,216850,30.6
2018-10-19,1511260,308450,20.41
2018-10-22,911540,280170,30.74
2018-10-23,2840540,651770,22.95
2018-10-24,491520,122210,24.86
2018-10-25,1057110,210410,19.9
2018-10-26,1077940,195190,18.11
2018-10-29,410980,78980,19.22
2018-10-30,259430,46710,18.0
2018-10-31,310470,58820,18.95
2018-11-01,838420,136310,16.26
2018-11-02,722130,141430,19.59
2018-11-06,272030,73020,26.84
2018-11-07,812780,51220,6.3
2018-11-08,1240030,225580,18.19
2018-11-09,481960,72290,15.0
2018-11-12,256030,31230,12.2
2018-11-13,572940,66890,11.67
2018-11-14,2747460,452640,16.47
2018-11-15,4584050,854190,18.63
2018-11-16,3334610,598470,17.95
2018-11-19,2414440,299520,12.41
2018-11-20,1646390,398130,24.18
2018-11-21,652140,160210,24.57
2018-11-22,2048720,392920,19.18
2018-11-23,2802230,522740,18.65
2018-11-26,1524940,365590,23.97
2018-11-27,598920,193410,32.29
2018-11-28,461610,107490,23.29
2018-11-29,353630,38070,10.77
2018-11-30,579780,99240,17.12
2018-12-03,622140,128150,20.6
2018-12-04,445290,82470,18.52
2018-12-05,922430,178200,19.32
2018-12-06,794490,151350,19.05
2018-12-07,331820,66690,20.1
2018-12-10,1004320,85670,8.53
2018-12-11,929600,118950,12.8
2018-12-12,1563830,222080,14.2
2018-12-13,616180,94880,15.4
2018-12-14,479000,102360,21.37
2018-12-17,291290,38750,13.3
2018-12-18,798160,111560,13.98
2018-12-19,947210,99010,10.45
2018-12-20,516900,85140,16.47
2018-12-21,492420,71220,14.46
