TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,19245000,1794000,9.32
2018-10-02,29307000,5932000,20.24
2018-10-03,18289000,3722000,20.35
2018-10-04,14157000,3430000,24.23
2018-10-05,8542000,1984000,23.23
2018-10-08,9223000,2058000,22.31
2018-10-09,5450000,1863000,34.18
2018-10-10,11456000,2788000,24.34
2018-10-11,16601000,3225000,19.43
2018-10-12,4752000,1300000,27.36
2018-10-15,5608000,827000,14.75
2018-10-16,3734000,611000,16.36
2018-10-17,4963000,933000,18.8
2018-10-18,9197000,1726000,18.77
2018-10-19,4323000,845000,19.55
2018-10-22,6982000,1909000,27.34
2018-10-23,9636000,1515000,15.72
2018-10-24,13107000,2540000,19.38
2018-10-25,4466000,810000,18.14
2018-10-26,9484000,1676000,17.67
2018-10-29,4886000,839000,17.17
2018-10-30,3451000,689000,19.97
2018-10-31,3830000,334000,8.72
2018-11-01,4708000,1727000,36.68
2018-11-02,7532000,2585000,34.32
2018-11-06,5829000,2685000,46.06
2018-11-07,8421000,3641000,43.24
2018-11-08,5446000,2539000,46.62
2018-11-09,8192000,2597000,31.7
2018-11-12,6079000,1727000,28.41
2018-11-13,10239000,1411000,13.78
2018-11-14,19379000,4593000,23.7
2018-11-15,16742000,5042000,30.12
2018-11-16,7963000,2278000,28.61
2018-11-19,6100000,1927000,31.59
2018-11-20,12966000,3676000,28.35
2018-11-21,16520000,4761000,28.82
2018-11-22,7063000,1461000,20.69
2018-11-23,2781000,1142000,41.06
2018-11-26,8073000,1564000,19.37
2018-11-27,8178000,1565000,19.14
2018-11-28,18829000,6134000,32.58
2018-11-29,46975000,11128000,23.69
2018-11-30,88421000,15641000,17.69
2018-12-03,35729000,8855000,24.78
2018-12-04,40843000,10699000,26.2
2018-12-05,20435000,4092000,20.02
2018-12-06,13873000,3113000,22.44
2018-12-07,9015000,2700000,29.95
2018-12-10,15863000,3341000,21.06
2018-12-11,6185000,1882000,30.43
2018-12-12,13874000,3591000,25.88
2018-12-13,11700000,2911000,24.88
2018-12-14,10136000,1791000,17.67
2018-12-17,14611000,2288000,15.66
2018-12-18,21658000,3419000,15.79
2018-12-19,22067000,3152000,14.28
2018-12-20,18560000,3254000,17.53
2018-12-21,27947000,4147000,14.84
