TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,1892,522,27.59
2018-10-02,856,192,22.43
2018-10-03,2024,496,24.51
2018-10-04,1301,327,25.13
2018-10-05,2238,505,22.56
2018-10-08,1041,201,19.31
2018-10-09,3707,484,13.06
2018-10-10,8327,1131,13.58
2018-10-11,1734,431,24.86
2018-10-12,500,108,21.6
2018-10-15,579,178,30.74
2018-10-16,939,231,24.6
2018-10-17,1033,211,20.43
2018-10-18,632,117,18.51
2018-10-19,1349,284,21.05
2018-10-22,1488,191,12.84
2018-10-23,1184,194,16.39
2018-10-24,1422,276,19.41
2018-10-25,960,218,22.71
2018-10-26,729,166,22.77
2018-10-29,231,68,29.44
2018-10-30,731,169,23.12
2018-10-31,637,149,23.39
2018-11-01,776,131,16.88
2018-11-02,539,106,19.67
2018-11-06,1498,163,10.88
2018-11-07,1615,290,17.96
2018-11-08,633,165,26.07
2018-11-09,1788,391,21.87
2018-11-12,628,120,19.11
2018-11-13,368,88,23.91
2018-11-14,579,41,7.08
2018-11-15,506,91,17.98
2018-11-16,991,232,23.41
2018-11-19,565,127,22.48
2018-11-20,673,138,20.51
2018-11-21,1299,234,18.01
2018-11-22,868,160,18.43
2018-11-23,830,186,22.41
2018-11-26,1747,458,26.22
2018-11-27,1366,318,23.28
2018-11-28,668,103,15.42
2018-11-29,1375,231,16.8
2018-11-30,3298,504,15.28
2018-12-03,1037,293,28.25
2018-12-04,533,85,15.95
2018-12-05,634,160,25.24
2018-12-06,1158,380,32.82
2018-12-07,1872,441,23.56
2018-12-10,675,132,19.56
2018-12-11,766,165,21.54
2018-12-12,1246,236,18.94
2018-12-13,497,92,18.51
2018-12-14,463,114,24.62
2018-12-17,1513,290,19.17
2018-12-18,1621,364,22.46
2018-12-19,1384,335,24.21
2018-12-20,2143,624,29.12
2018-12-21,2724,190,6.98
