TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,12206000,445000,3.65
2018-10-02,10274000,206000,2.01
2018-10-03,22103000,371000,1.68
2018-10-04,16899000,159000,0.94
2018-10-05,22221000,332000,1.49
2018-10-08,9051000,278000,3.07
2018-10-09,10564000,0,0.0
2018-10-10,9875000,58000,0.59
2018-10-11,32566000,425000,1.31
2018-10-12,6918000,227000,3.28
2018-10-15,4415000,130000,2.94
2018-10-16,17290000,299000,1.73
2018-10-17,18857000,142000,0.75
2018-10-18,9741000,79000,0.81
2018-10-19,6366000,144000,2.26
2018-10-22,30090000,92000,0.31
2018-10-23,36706000,192000,0.52
2018-10-24,17752000,135000,0.76
2018-10-25,28180000,491000,1.74
2018-10-26,26490000,396000,1.49
2018-10-29,16559000,426000,2.57
2018-10-30,17240000,393000,2.28
2018-10-31,35402000,750000,2.12
2018-11-01,8545000,222000,2.6
2018-11-02,64653000,437000,0.68
2018-11-06,17803000,450000,2.53
2018-11-07,2953000,148000,5.01
2018-11-08,13219000,111000,0.84
2018-11-09,7963000,90000,1.13
2018-11-12,8585000,311000,3.62
2018-11-13,24868000,12000,0.05
2018-11-14,9227000,187000,2.03
2018-11-15,10368000,370000,3.57
2018-11-16,3957000,0,0.0
2018-11-19,5910000,8000,0.14
2018-11-20,5044000,41000,0.81
2018-11-21,7867000,34000,0.43
2018-11-22,3641000,99000,2.72
2018-11-23,5306000,166000,3.13
2018-11-26,4890000,133000,2.72
2018-11-27,3184000,116000,3.64
2018-11-28,2216000,153000,6.9
2018-11-29,7524000,151000,2.01
2018-11-30,11217000,106000,0.94
2018-12-03,18243000,1155000,6.33
2018-12-04,8984000,266000,2.96
2018-12-05,4547000,666000,14.65
2018-12-06,7812000,73000,0.93
2018-12-07,15726000,528000,3.36
2018-12-10,7348000,110000,1.5
2018-12-11,9604000,489000,5.09
2018-12-12,13816000,393000,2.84
2018-12-13,24054000,190000,0.79
2018-12-14,14510000,403000,2.78
2018-12-17,13767000,374000,2.72
2018-12-18,6131000,459000,7.49
2018-12-19,13673000,923000,6.75
2018-12-20,19062000,1514000,7.94
2018-12-21,13820000,1482000,10.72
