TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,22272,3878,17.41
2018-10-02,55400,5766,10.41
2018-10-03,62963,12849,20.41
2018-10-04,44561,7642,17.15
2018-10-05,34975,10462,29.91
2018-10-08,26150,4008,15.33
2018-10-09,17439,2322,13.31
2018-10-10,21288,4122,19.36
2018-10-11,74849,12672,16.93
2018-10-12,63105,10517,16.67
2018-10-15,32843,3827,11.65
2018-10-16,89016,8835,9.93
2018-10-17,57137,8284,14.5
2018-10-18,32726,2351,7.18
2018-10-19,64209,8601,13.4
2018-10-22,37056,4036,10.89
2018-10-23,44036,7320,16.62
2018-10-24,56935,5629,9.89
2018-10-25,66107,4756,7.19
2018-10-26,81595,15213,18.64
2018-10-29,34199,6134,17.94
2018-10-30,50174,4722,9.41
2018-10-31,46252,9389,20.3
2018-11-01,39447,6180,15.67
2018-11-02,31162,3734,11.98
2018-11-06,41529,7250,17.46
2018-11-07,64651,8857,13.7
2018-11-08,48687,6400,13.15
2018-11-09,39073,6016,15.4
2018-11-12,28783,1293,4.49
2018-11-13,26509,2025,7.64
2018-11-14,42290,4403,10.41
2018-11-15,46708,6958,14.9
2018-11-16,26789,2609,9.74
2018-11-19,54526,5823,10.68
2018-11-20,36115,7994,22.13
2018-11-21,77790,16896,21.72
2018-11-22,97034,19601,20.2
2018-11-23,42574,7983,18.75
2018-11-26,71596,13993,19.54
2018-11-27,64896,16486,25.4
2018-11-28,42610,7832,18.38
2018-11-29,39678,9532,24.02
2018-11-30,95924,4353,4.54
2018-12-03,84432,12477,14.78
2018-12-04,46105,7284,15.8
2018-12-05,37817,6333,16.75
2018-12-06,22684,4834,21.31
2018-12-07,42177,8366,19.84
2018-12-10,84801,8434,9.95
2018-12-11,76881,11772,15.31
2018-12-12,25329,5377,21.23
2018-12-13,51222,10756,21.0
2018-12-14,49780,7024,14.11
2018-12-17,26276,4008,15.25
2018-12-18,58485,8318,14.22
2018-12-19,78850,8241,10.45
2018-12-20,116067,10667,9.19
2018-12-21,111087,6037,5.43
