TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,1199710,262200,21.86
2018-10-02,1537590,329050,21.4
2018-10-03,2969500,716270,24.12
2018-10-04,2315750,575190,24.84
2018-10-05,2008500,456330,22.72
2018-10-08,1255130,368620,29.37
2018-10-09,1847730,368270,19.93
2018-10-10,1364340,246560,18.07
2018-10-11,2047290,553470,27.03
2018-10-12,1264990,252710,19.98
2018-10-15,1335330,307370,23.02
2018-10-16,1624000,337320,20.77
2018-10-17,880190,254590,28.92
2018-10-18,1251220,327550,26.18
2018-10-19,1273810,299700,23.53
2018-10-22,1022690,252570,24.7
2018-10-23,1561680,458260,29.34
2018-10-24,1179390,310020,26.29
2018-10-25,1598220,374800,23.45
2018-10-26,992790,237650,23.94
2018-10-29,747960,192380,25.72
2018-10-30,784450,211260,26.93
2018-10-31,1183170,357250,30.19
2018-11-01,2345790,680000,28.99
2018-11-02,2118410,738380,34.86
2018-11-06,2415940,1068770,44.24
2018-11-07,1666820,780830,46.85
2018-11-08,2459940,667150,27.12
2018-11-09,1211900,349440,28.83
2018-11-12,641420,196790,30.68
2018-11-13,979280,285280,29.13
2018-11-14,779790,242410,31.09
2018-11-15,1523670,414240,27.19
2018-11-16,1031900,280250,27.16
2018-11-19,1193380,325080,27.24
2018-11-20,6752010,1967080,29.13
2018-11-21,2913730,887240,30.45
2018-11-22,804710,242330,30.11
2018-11-23,1684650,570600,33.87
2018-11-26,2272480,676090,29.75
2018-11-27,1123170,446350,39.74
2018-11-28,1064770,405510,38.08
2018-11-29,2145350,755510,35.22
2018-11-30,2534260,947640,37.39
2018-12-03,1641510,502960,30.64
2018-12-04,910490,310860,34.14
2018-12-05,996460,272420,27.34
2018-12-06,2675520,697780,26.08
2018-12-07,4458240,1171850,26.29
2018-12-10,3131510,756060,24.14
2018-12-11,4413910,1163340,26.36
2018-12-12,5669450,1719020,30.32
2018-12-13,4195470,1653710,39.42
2018-12-14,2196150,640160,29.15
2018-12-17,1364080,464350,34.04
2018-12-18,1780640,646910,36.33
2018-12-19,2928190,1006020,34.36
2018-12-20,3346190,1023540,30.59
2018-12-21,2427150,704100,29.01
