TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,29270,3000,10.25
2018-10-02,134720,4220,3.13
2018-10-03,70280,5660,8.05
2018-10-04,300730,4920,1.64
2018-10-05,203150,6010,2.96
2018-10-08,221650,8770,3.96
2018-10-09,60240,5050,8.38
2018-10-10,50080,2970,5.93
2018-10-11,206300,2880,1.4
2018-10-12,48180,3190,6.62
2018-10-15,37260,1680,4.51
2018-10-16,33530,320,0.95
2018-10-17,51240,4580,8.94
2018-10-18,28040,330,1.18
2018-10-19,43910,680,1.55
2018-10-22,74680,4180,5.6
2018-10-23,14890,860,5.78
2018-10-24,68850,6380,9.27
2018-10-25,37780,1750,4.63
2018-10-26,33870,4880,14.41
2018-10-29,24750,0,0.0
2018-10-30,9550,320,3.35
2018-10-31,11780,1560,13.24
2018-11-01,41690,1130,2.71
2018-11-02,37560,2760,7.35
2018-11-06,46460,3430,7.38
2018-11-07,110470,9810,8.88
2018-11-08,33030,5000,15.14
2018-11-09,84910,7100,8.36
2018-11-12,29130,2620,8.99
2018-11-13,17240,1860,10.79
2018-11-14,15170,2860,18.85
2018-11-15,53120,4210,7.93
2018-11-16,28490,2270,7.97
2018-11-19,62730,3370,5.37
2018-11-20,62630,9450,15.09
2018-11-21,52200,6820,13.07
2018-11-22,13740,2500,18.2
2018-11-23,16560,3530,21.32
2018-11-26,15560,2280,14.65
2018-11-27,28470,1900,6.67
2018-11-28,16840,1730,10.27
2018-11-29,173890,3480,2.0
2018-11-30,39290,840,2.14
2018-12-03,19560,2640,13.5
2018-12-04,4800,390,8.12
2018-12-05,42490,1960,4.61
2018-12-06,68110,1200,1.76
2018-12-07,41090,2510,6.11
2018-12-10,13500,250,1.85
2018-12-11,97410,230,0.24
2018-12-12,651030,98120,15.07
2018-12-13,504090,11760,2.33
2018-12-14,172410,19660,11.4
2018-12-17,479340,36690,7.65
2018-12-18,521850,13950,2.67
2018-12-19,139880,9830,7.03
2018-12-20,70910,3170,4.47
2018-12-21,1273180,750,0.06
