TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,7871,0,0.0
2018-10-02,367932,50583,13.75
2018-10-03,1491938,207606,13.92
2018-10-04,917691,35565,3.88
2018-10-05,241080,27675,11.48
2018-10-08,31108,0,0.0
2018-10-09,88202,115,0.13
2018-10-10,233729,25728,11.01
2018-10-11,648522,341146,52.6
2018-10-12,389748,55049,14.12
2018-10-15,229672,50533,22.0
2018-10-16,1248451,87082,6.98
2018-10-17,1151123,89350,7.76
2018-10-18,249794,25005,10.01
2018-10-19,1075879,309664,28.78
2018-10-22,1189972,512916,43.1
2018-10-23,1002380,145668,14.53
2018-10-24,73159,24512,33.51
2018-10-25,265040,50012,18.87
2018-10-26,2525435,400198,15.85
2018-10-29,517743,75050,14.5
2018-10-30,214049,190,0.09
2018-10-31,462023,34972,7.57
2018-11-01,65682,184,0.28
2018-11-02,10472,70,0.67
2018-11-06,127527,24855,19.49
2018-11-07,73012,0,0.0
2018-11-08,65597,52402,79.88
2018-11-09,178238,0,0.0
2018-11-12,78952,0,0.0
2018-11-13,168987,47858,28.32
2018-11-14,1085454,550000,50.67
2018-11-15,77343,335,0.43
2018-11-16,10633,558,5.25
2018-11-19,12370,0,0.0
2018-11-20,322650,50082,15.52
2018-11-21,8158,3544,43.44
2018-11-22,1042795,352812,33.83
2018-11-23,31566,18585,58.88
2018-11-26,9602,184,1.92
2018-11-27,173075,2206,1.27
2018-11-28,186904,3757,2.01
2018-11-29,4417647,625021,14.15
2018-11-30,174069,110,0.06
2018-12-03,347714,0,0.0
2018-12-04,364779,0,0.0
2018-12-05,225228,62029,27.54
2018-12-06,27471,4328,15.75
2018-12-07,32822,0,0.0
2018-12-10,3327492,168,0.01
2018-12-11,149943,54971,36.66
2018-12-12,1979521,109131,5.51
2018-12-13,133000,0,0.0
2018-12-14,344883,633,0.18
2018-12-17,21157,0,0.0
2018-12-18,24434,0,0.0
2018-12-19,170753,46506,27.24
2018-12-20,150090,61517,40.99
2018-12-21,370865,0,0.0
