TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,23485,15691,66.81
2018-10-02,46560,9628,20.68
2018-10-03,95537,6214,6.5
2018-10-04,227387,9965,4.38
2018-10-05,20692,2249,10.87
2018-10-08,479846,2439,0.51
2018-10-09,37206,9877,26.55
2018-10-10,98888,43813,44.31
2018-10-11,363308,205,0.06
2018-10-12,47404,3840,8.1
2018-10-15,20273,10162,50.13
2018-10-16,65479,4203,6.42
2018-10-17,164790,3983,2.42
2018-10-18,41753,9857,23.61
2018-10-19,2231137,733353,32.87
2018-10-22,129707,7090,5.47
2018-10-23,63388,11896,18.77
2018-10-24,174652,33072,18.94
2018-10-25,97910,2304,2.35
2018-10-26,89232,50000,56.03
2018-10-29,227043,97407,42.9
2018-10-30,50638,4955,9.79
2018-10-31,115568,38601,33.4
2018-11-01,506579,123715,24.42
2018-11-02,33963,24037,70.77
2018-11-06,56933,1193,2.1
2018-11-07,697135,157371,22.57
2018-11-08,2803172,162318,5.79
2018-11-09,2349663,1214600,51.69
2018-11-12,1848693,155376,8.4
2018-11-13,3115931,113480,3.64
2018-11-14,46284,6595,14.25
2018-11-15,474571,137066,28.88
2018-11-16,83211,0,0.0
2018-11-19,31808,0,0.0
2018-11-20,181644,45633,25.12
2018-11-21,206456,32128,15.56
2018-11-22,1350937,3466,0.26
2018-11-23,1103507,989274,89.65
2018-11-26,151429,0,0.0
2018-11-27,32373,10,0.03
2018-11-28,14580,0,0.0
2018-11-29,5298835,25209,0.48
2018-11-30,76242,44691,58.62
2018-12-03,261959,213749,81.6
2018-12-04,109564,14988,13.68
2018-12-05,166859,108454,65.0
2018-12-06,54068,6189,11.45
2018-12-07,79299,23387,29.49
2018-12-10,74314,49900,67.15
2018-12-11,46762,5357,11.46
2018-12-12,77596,41293,53.22
2018-12-13,23231,5480,23.59
2018-12-14,136307,89391,65.58
2018-12-17,101432,23619,23.29
2018-12-18,71960,10671,14.83
2018-12-19,1369777,52618,3.84
2018-12-20,734625,5410,0.74
2018-12-21,1038806,62141,5.98
