,Средний процент
ОФЗ 25083,21.72
ОФЗ 26205,17.94
ОФЗ 26207,13.34
ОФЗ 26209,20.88
ОФЗ 26210,27.13
ОФЗ 26211,13.66
ОФЗ 26212,13.47
ОФЗ 26214,24.35
ОФЗ 26215,18.88
ОФЗ 26217,23.47
ОФЗ 26218,10.98
ОФЗ 26219,14.48
ОФЗ 26220,19.1
ОФЗ 26221,12.66
ОФЗ 26222,22.44
ОФЗ 26223,29.49
ОФЗ 26224,10.84
ОФЗ 26225,15.37
ОФЗ 29006,3.15
ОФЗ 29009,0.0
ОФЗ 29010,3.33
ОФЗ 29011,8.83
ОФЗ 29012,9.61
ОФЗ 52001,24.19
ОФЗ 52002,29.93
