TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,19417,3532,18.19
2018-10-02,50511,3488,6.91
2018-10-03,268833,490,0.18
2018-10-04,100418,3735,3.72
2018-10-05,238202,113541,47.67
2018-10-08,318477,37164,11.67
2018-10-09,25119,2804,11.16
2018-10-10,22885,0,0.0
2018-10-11,25588,0,0.0
2018-10-12,70980,53227,74.99
2018-10-15,10473,0,0.0
2018-10-16,21158,5,0.02
2018-10-17,89970,42156,46.86
2018-10-18,49154,0,0.0
2018-10-19,117741,1161,0.99
2018-10-22,8241,828,10.05
2018-10-23,71106,48055,67.58
2018-10-24,61398,50000,81.44
2018-10-25,208039,30202,14.52
2018-10-26,80707,4002,4.96
2018-10-29,105531,22317,21.15
2018-10-30,9980,3817,38.25
2018-10-31,57921,0,0.0
2018-11-01,38332,5078,13.25
2018-11-02,196957,16200,8.23
2018-11-06,8430,0,0.0
2018-11-07,33868,0,0.0
2018-11-08,83412,796,0.95
2018-11-09,86766,725,0.84
2018-11-12,47533,1000,2.1
2018-11-13,89610,1498,1.67
2018-11-14,18095,1039,5.74
2018-11-15,82073,14738,17.96
2018-11-16,77921,35083,45.02
2018-11-19,36165,38,0.11
2018-11-20,107600,72735,67.6
2018-11-21,55884,19350,34.63
2018-11-22,64648,55510,85.86
2018-11-23,29592,9355,31.61
2018-11-26,1068687,0,0.0
2018-11-27,83233,27060,32.51
2018-11-28,54651,1763,3.23
2018-11-29,86634,45265,52.25
2018-11-30,61788,44928,72.71
2018-12-03,36008,746,2.07
2018-12-04,64530,32173,49.86
2018-12-05,318596,134387,42.18
2018-12-06,199604,0,0.0
2018-12-07,73815,0,0.0
2018-12-10,66326,0,0.0
2018-12-11,685973,259461,37.82
2018-12-12,65240,53171,81.5
2018-12-13,812859,5333,0.66
2018-12-14,1342199,907287,67.6
2018-12-17,137795,107617,78.1
2018-12-18,142956,30873,21.6
2018-12-19,402132,87501,21.76
2018-12-20,69947,36589,52.31
2018-12-21,127365,56966,44.73
