TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,2136032,50951,2.39
2018-10-02,2917198,1843,0.06
2018-10-03,3079505,51887,1.68
2018-10-04,3737126,56757,1.52
2018-10-05,2120384,49996,2.36
2018-10-08,39124,0,0.0
2018-10-09,32524,0,0.0
2018-10-10,80820,39288,48.61
2018-10-11,81798,0,0.0
2018-10-12,28213,998,3.54
2018-10-15,152162,5103,3.35
2018-10-16,148320,41,0.03
2018-10-17,46922,0,0.0
2018-10-18,155830,20000,12.83
2018-10-19,79443,4823,6.07
2018-10-22,1207095,102569,8.5
2018-10-23,250145,0,0.0
2018-10-24,668304,127318,19.05
2018-10-25,1066551,1531,0.14
2018-10-26,1413630,1016464,71.9
2018-10-29,255963,0,0.0
2018-10-30,647570,65000,10.04
2018-10-31,118910,0,0.0
2018-11-01,77615,3,0.0
2018-11-02,83771,23563,28.13
2018-11-06,39093,0,0.0
2018-11-07,79697,17334,21.75
2018-11-08,25282,0,0.0
2018-11-09,78381,0,0.0
2018-11-12,61055,815,1.33
2018-11-13,1211123,55203,4.56
2018-11-14,258875,21,0.01
2018-11-15,7056428,452897,6.42
2018-11-16,2291320,109685,4.79
2018-11-19,118969,38681,32.51
2018-11-20,6940258,83152,1.2
2018-11-21,150774,45035,29.87
2018-11-22,195168,35550,18.22
2018-11-23,98423,6613,6.72
2018-11-26,167312,0,0.0
2018-11-27,922585,18391,1.99
2018-11-28,626002,51595,8.24
2018-11-29,174306,100328,57.56
2018-11-30,178421,26189,14.68
2018-12-03,55662,0,0.0
2018-12-04,286590,24322,8.49
2018-12-05,24971,0,0.0
2018-12-06,93197,0,0.0
2018-12-07,45510,0,0.0
2018-12-10,648439,57915,8.93
2018-12-11,36967,0,0.0
2018-12-12,329897,138085,41.86
2018-12-13,656431,25000,3.81
2018-12-14,260312,55484,21.31
2018-12-17,131898,8475,6.43
2018-12-18,92618,0,0.0
2018-12-19,176745,0,0.0
2018-12-20,81675,0,0.0
2018-12-21,46354,0,0.0
