TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,268406,44941,16.74
2018-10-02,452161,117096,25.9
2018-10-03,434120,277437,63.91
2018-10-04,128755,31000,24.08
2018-10-05,133915,121872,91.01
2018-10-08,114181,13532,11.85
2018-10-09,23310,13335,57.21
2018-10-10,50966,17841,35.01
2018-10-11,64320,58518,90.98
2018-10-12,37427,59,0.16
2018-10-15,73688,33607,45.61
2018-10-16,35961,15895,44.2
2018-10-17,66090,48056,72.71
2018-10-18,51519,368,0.71
2018-10-19,26273,7342,27.95
2018-10-22,133734,48887,36.56
2018-10-23,91036,10000,10.98
2018-10-24,28079,0,0.0
2018-10-25,66921,3401,5.08
2018-10-26,32202,2089,6.49
2018-10-29,117669,0,0.0
2018-10-30,227303,6433,2.83
2018-10-31,416125,164562,39.55
2018-11-01,38208,9207,24.1
2018-11-02,29143,19718,67.66
2018-11-06,20825,5254,25.23
2018-11-07,102745,539,0.52
2018-11-08,246737,4188,1.7
2018-11-09,25954,0,0.0
2018-11-12,49507,0,0.0
2018-11-13,88963,1168,1.31
2018-11-14,26252,1762,6.71
2018-11-15,45393,0,0.0
2018-11-16,242614,41161,16.97
2018-11-19,49682,16050,32.31
2018-11-20,50717,4978,9.82
2018-11-21,58146,15490,26.64
2018-11-22,116986,58228,49.77
2018-11-23,99280,89372,90.02
2018-11-26,44576,4287,9.62
2018-11-27,182299,933,0.51
2018-11-28,57701,4754,8.24
2018-11-29,83926,30019,35.77
2018-11-30,122636,81521,66.47
2018-12-03,130106,79857,61.38
2018-12-04,45453,11077,24.37
2018-12-05,133119,119752,89.96
2018-12-06,187012,0,0.0
2018-12-07,197343,0,0.0
2018-12-10,163664,0,0.0
2018-12-11,390712,140571,35.98
2018-12-12,93552,75777,81.0
2018-12-13,173378,0,0.0
2018-12-14,463023,74546,16.1
2018-12-17,326636,48647,14.89
2018-12-18,294405,566,0.19
2018-12-19,444596,26424,5.94
2018-12-20,154673,79180,51.19
2018-12-21,208806,77066,36.91
