TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,3755170,121500,3.24
2018-10-02,2803520,94570,3.37
2018-10-03,6132650,259590,4.23
2018-10-04,7284010,349460,4.8
2018-10-05,4826790,260040,5.39
2018-10-08,5023270,268210,5.34
2018-10-09,4152170,184900,4.45
2018-10-10,4822860,546760,11.34
2018-10-11,4442520,339070,7.63
2018-10-12,2783170,95760,3.44
2018-10-15,1806370,134290,7.43
2018-10-16,2713340,156050,5.75
2018-10-17,3921870,180630,4.61
2018-10-18,2028930,69600,3.43
2018-10-19,2750830,207900,7.56
2018-10-22,2575220,101110,3.93
2018-10-23,4363010,215160,4.93
2018-10-24,3134510,233170,7.44
2018-10-25,3094960,197990,6.4
2018-10-26,2886060,152850,5.3
2018-10-29,1752560,86910,4.96
2018-10-30,2312890,159440,6.89
2018-10-31,4348090,150820,3.47
2018-11-01,3202360,231710,7.24
2018-11-02,3222640,186320,5.78
2018-11-06,6370460,613580,9.63
2018-11-07,3112250,217040,6.97
2018-11-08,3523150,400650,11.37
2018-11-09,4253200,232110,5.46
2018-11-12,2423720,103000,4.25
2018-11-13,7991810,667140,8.35
2018-11-14,11455890,715200,6.24
2018-11-15,5447170,226380,4.16
2018-11-16,5137480,466710,9.08
2018-11-19,4576970,310540,6.78
2018-11-20,7946890,630320,7.93
2018-11-21,4504550,144560,3.21
2018-11-22,2552040,125020,4.9
2018-11-23,7514900,232430,3.09
2018-11-26,7420020,502930,6.78
2018-11-27,3654450,190470,5.21
2018-11-28,4146310,271630,6.55
2018-11-29,5351360,348970,6.52
2018-11-30,3386930,135090,3.99
2018-12-03,6694560,527090,7.87
2018-12-04,3083270,124130,4.03
2018-12-05,2532770,120030,4.74
2018-12-06,4348890,260410,5.99
2018-12-07,5140220,397920,7.74
2018-12-10,4018620,214930,5.35
2018-12-11,3679440,110840,3.01
2018-12-12,4551590,293210,6.44
2018-12-13,4855500,96970,2.0
2018-12-14,3239920,110440,3.41
2018-12-17,2517430,143870,5.71
2018-12-18,5463430,617420,11.3
2018-12-19,3986040,220500,5.53
2018-12-20,3349850,236930,7.07
2018-12-21,3699200,275020,7.43
