TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,1103170,315700,28.62
2018-10-02,1120840,221550,19.77
2018-10-03,1123710,232090,20.65
2018-10-04,970530,241660,24.9
2018-10-05,1117270,263330,23.57
2018-10-08,992670,164390,16.56
2018-10-09,863380,155350,17.99
2018-10-10,1176860,265550,22.56
2018-10-11,1927250,407090,21.12
2018-10-12,970860,150400,15.49
2018-10-15,764530,101240,13.24
2018-10-16,617390,135850,22.0
2018-10-17,566250,114800,20.27
2018-10-18,819740,157220,19.18
2018-10-19,757600,139090,18.36
2018-10-22,921320,156000,16.93
2018-10-23,1174290,227580,19.38
2018-10-24,1780600,247340,13.89
2018-10-25,1356550,214600,15.82
2018-10-26,901350,146080,16.21
2018-10-29,405450,96900,23.9
2018-10-30,762660,160320,21.02
2018-10-31,1782530,350660,19.67
2018-11-01,1124740,201400,17.91
2018-11-02,1201390,133610,11.12
2018-11-06,1136840,187050,16.45
2018-11-07,1320330,247400,18.74
2018-11-08,1081360,215740,19.95
2018-11-09,940070,186430,19.83
2018-11-12,620930,162010,26.09
2018-11-13,1224910,229640,18.75
2018-11-14,2120710,634070,29.9
2018-11-15,901250,277770,30.82
2018-11-16,1118670,186560,16.68
2018-11-19,906720,198430,21.88
2018-11-20,725510,198290,27.33
2018-11-21,839430,243090,28.96
2018-11-22,680030,156570,23.02
2018-11-23,1514100,434310,28.68
2018-11-26,1681460,471040,28.01
2018-11-27,1164260,306450,26.32
2018-11-28,1110760,266710,24.01
2018-11-29,2206770,474010,21.48
2018-11-30,2770880,300850,10.86
2018-12-03,1924810,493760,25.65
2018-12-04,1999700,398340,19.92
2018-12-05,1770100,374990,21.18
2018-12-06,1816270,439320,24.19
2018-12-07,1612430,422480,26.2
2018-12-10,918410,249370,27.15
2018-12-11,1377790,355740,25.82
2018-12-12,1210290,247210,20.43
2018-12-13,1352020,344620,25.49
2018-12-14,731260,164480,22.49
2018-12-17,632750,153660,24.28
2018-12-18,1433010,378200,26.39
2018-12-19,1680500,428420,25.49
2018-12-20,1420090,369270,26.0
2018-12-21,2764480,358080,12.95
