TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,409150,126620,30.95
2018-10-02,332790,82690,24.85
2018-10-03,597440,97340,16.29
2018-10-04,621230,128470,20.68
2018-10-05,532830,136510,25.62
2018-10-08,490200,106820,21.79
2018-10-09,439160,98530,22.44
2018-10-10,681610,94430,13.85
2018-10-11,1226680,258350,21.06
2018-10-12,622240,144310,23.19
2018-10-15,713720,232810,32.62
2018-10-16,617880,223030,36.1
2018-10-17,635700,147810,23.25
2018-10-18,617020,147840,23.96
2018-10-19,593120,128770,21.71
2018-10-22,464480,112580,24.24
2018-10-23,1269960,225310,17.74
2018-10-24,1046860,213350,20.38
2018-10-25,744900,174510,23.43
2018-10-26,627330,140630,22.42
2018-10-29,528500,123870,23.44
2018-10-30,373310,83480,22.36
2018-10-31,766600,143330,18.7
2018-11-01,484600,126100,26.02
2018-11-02,959390,240890,25.11
2018-11-06,674570,138900,20.59
2018-11-07,556000,117300,21.1
2018-11-08,582910,122980,21.1
2018-11-09,695540,145510,20.92
2018-11-12,548070,127060,23.18
2018-11-13,557650,123900,22.22
2018-11-14,526720,148410,28.18
2018-11-15,631480,163980,25.97
2018-11-16,487380,133110,27.31
2018-11-19,899090,162690,18.09
2018-11-20,698500,183020,26.2
2018-11-21,642330,157500,24.52
2018-11-22,737620,123640,16.76
2018-11-23,636320,168150,26.43
2018-11-26,859290,277510,32.3
2018-11-27,1251110,301570,24.1
2018-11-28,881740,233320,26.46
2018-11-29,881300,176750,20.06
2018-11-30,1721330,264370,15.36
2018-12-03,1479230,282880,19.12
2018-12-04,1285240,224820,17.49
2018-12-05,678330,166230,24.51
2018-12-06,638120,139570,21.87
2018-12-07,584820,149440,25.55
2018-12-10,373920,101630,27.18
2018-12-11,834650,202960,24.32
2018-12-12,560910,142880,25.47
2018-12-13,474710,113080,23.82
2018-12-14,428040,87440,20.43
2018-12-17,719490,133950,18.62
2018-12-18,745500,174050,23.35
2018-12-19,836740,203990,24.38
2018-12-20,554500,134860,24.32
2018-12-21,663300,105360,15.88
