TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,157040,14868,9.47
2018-10-02,124820,5697,4.56
2018-10-03,168263,15660,9.31
2018-10-04,100227,7686,7.67
2018-10-05,89003,7803,8.77
2018-10-08,78365,2976,3.8
2018-10-09,89928,5117,5.69
2018-10-10,183574,10289,5.6
2018-10-11,180587,8291,4.59
2018-10-12,150419,2793,1.86
2018-10-15,169603,10165,5.99
2018-10-16,135591,15794,11.65
2018-10-17,110894,8239,7.43
2018-10-18,107482,6972,6.49
2018-10-19,140920,5747,4.08
2018-10-22,136901,6440,4.7
2018-10-23,129644,7351,5.67
2018-10-24,168742,6663,3.95
2018-10-25,191301,8313,4.35
2018-10-26,203007,11530,5.68
2018-10-29,97835,2109,2.16
2018-10-30,110161,4035,3.66
2018-10-31,154248,6219,4.03
2018-11-01,188803,7195,3.81
2018-11-02,284532,16461,5.79
2018-11-06,134997,6036,4.47
2018-11-07,149226,3915,2.62
2018-11-08,121490,5675,4.67
2018-11-09,169263,16486,9.74
2018-11-12,74889,3916,5.23
2018-11-13,96614,2853,2.95
2018-11-14,93587,4549,4.86
2018-11-15,135387,4661,3.44
2018-11-16,117392,3246,2.77
2018-11-19,106234,4099,3.86
2018-11-20,103815,6450,6.21
2018-11-21,111062,2576,2.32
2018-11-22,105446,1954,1.85
2018-11-23,129948,2480,1.91
2018-11-26,214972,21506,10.0
2018-11-27,260687,17973,6.89
2018-11-28,247852,9931,4.01
2018-11-29,219933,5283,2.4
2018-11-30,233490,6982,2.99
2018-12-03,132646,3975,3.0
2018-12-04,205111,7574,3.69
2018-12-05,143467,3045,2.12
2018-12-06,92203,4308,4.67
2018-12-07,96898,7341,7.58
2018-12-10,101237,8418,8.32
2018-12-11,120684,4146,3.44
2018-12-12,130243,3829,2.94
2018-12-13,203228,5784,2.85
2018-12-14,101435,1904,1.88
2018-12-17,144401,2525,1.75
2018-12-18,135896,3911,2.88
2018-12-19,154270,4837,3.14
2018-12-20,169667,7415,4.37
2018-12-21,157198,2620,1.67
