TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,944915,202756,21.46
2018-10-02,842901,193248,22.93
2018-10-03,1027078,147370,14.35
2018-10-04,804543,156775,19.49
2018-10-05,503118,119931,23.84
2018-10-08,381963,89993,23.56
2018-10-09,436837,101317,23.19
2018-10-10,395030,84201,21.32
2018-10-11,947246,200060,21.12
2018-10-12,478564,100731,21.05
2018-10-15,435853,82957,19.03
2018-10-16,468178,104214,22.26
2018-10-17,395161,90973,23.02
2018-10-18,457730,94827,20.72
2018-10-19,662876,190294,28.71
2018-10-22,383719,91629,23.88
2018-10-23,2808341,626575,22.31
2018-10-24,6612873,680023,10.28
2018-10-25,1790415,248510,13.88
2018-10-26,1085876,134502,12.39
2018-10-29,624901,108132,17.3
2018-10-30,840102,127391,15.16
2018-10-31,799085,108233,13.54
2018-11-01,695196,133136,19.15
2018-11-02,895847,139216,15.54
2018-11-06,910145,167957,18.45
2018-11-07,732623,131182,17.91
2018-11-08,588944,125237,21.26
2018-11-09,896172,212141,23.67
2018-11-12,521518,105925,20.31
2018-11-13,1246408,247271,19.84
2018-11-14,964537,214632,22.25
2018-11-15,569079,150365,26.42
2018-11-16,655941,123059,18.76
2018-11-19,595428,108000,18.14
2018-11-20,620325,144614,23.31
2018-11-21,632581,139841,22.11
2018-11-22,435668,88641,20.35
2018-11-23,1188339,210860,17.74
2018-11-26,1165029,244453,20.98
2018-11-27,1042648,151234,14.5
2018-11-28,778668,166936,21.44
2018-11-29,1277988,262385,20.53
2018-11-30,1412897,205775,14.56
2018-12-03,1399629,240143,17.16
2018-12-04,1270270,238726,18.79
2018-12-05,943848,199879,21.18
2018-12-06,1361884,276537,20.31
2018-12-07,1471855,300369,20.41
2018-12-10,1073265,219616,20.46
2018-12-11,884766,195420,22.09
2018-12-12,833397,197576,23.71
2018-12-13,901995,188703,20.92
2018-12-14,734502,218943,29.81
2018-12-17,629951,170740,27.1
2018-12-18,1405909,376917,26.81
2018-12-19,936443,262392,28.02
2018-12-20,1557668,347677,22.32
2018-12-21,2283579,237481,10.4
