,Наименование инструмента,code,market,engine,board
105,4B02-01-01556-A,RU000A0JXK40,bonds,stock,EQOB
106,4B02-07-01556-A,RU000A0JWP46,bonds,stock,EQOB
107,4B02-01-15790-A-001P,RU000A0JXUU3,bonds,stock,EQOB
108,1-02-11700-A,MVID,shares,stock,TQBR
109,RU000A0JW4Z1,RU000A0JW4Z1,gcc,stock,
110,RU000A0JWKG5,RU000A0JWKG5,gcc,stock,
111,4B02-01-82416-H-001P,RU000A0JXQ51,bonds,stock,EQOB
112,1-01-55192-E,PLZL,shares,stock,TQBR
113,1-01-83993-H,EELT,shares,stock,TQDE
114,4B02-01-00333-R-001P,RU000A0JXY85,bonds,stock,EQOB
115,3164,RU000A0JWK74,bonds,stock,EQOB
116,4B02-01-16005-R,RU000A0JXVY3,bonds,stock,EQOB
117,26222RMFS,SU26222RMFS8,bonds,stock,TQOB
118,26221RMFS,SU26221RMFS0,bonds,stock,TQOB
119,0983-94131725,RU000A0JURB5,ppif,stock,TQIF
120,4B02-05-32432-H-001P,RU000A0JY023,bonds,stock,TQOD
121,1-02-65105-D,OGKB,shares,stock,TQBR
122,1-01-00085-A,MSNG,shares,stock,TQBR
123,4B02-04-50156-A-001P,RU000A0ZYEB1,bonds,stock,EQOB
124,4-01-36430-R,RU000A0JUBD5,bonds,stock,EQOB
125,1-01-00010-A,AFLT,shares,stock,TQBR
126,1-01-84907-H,GTRK,shares,stock,TQBR
127,29008RMFS,SU29008RMFS8,bonds,stock,TQOB
128,29007RMFS,SU29007RMFS0,bonds,stock,TQOB
129,26208RMFS,SU26208RMFS7,bonds,stock,TQOB
130,46023RMFS,SU46023RMFS6,bonds,stock,TQOB
131,46012RMFS,SU46012RMFS9,bonds,stock,TQOB
132,46005RMFS,SU46005RMFS3,bonds,stock,TQOB
133,46011RMFS,SU46011RMFS1,bonds,stock,TQOB
134,46022RMFS,SU46022RMFS8,bonds,stock,TQOB
135,46020RMFS,SU46020RMFS2,bonds,stock,TQOB
136,26216RMFS,SU26216RMFS0,bonds,stock,TQOB
137,25083RMFS,SU25083RMFS5,bonds,stock,TQOB
138,46019RMFS,SU46019RMFS4,bonds,stock,TQOB
139,46018RMFS,SU46018RMFS6,bonds,stock,TQOB
140,1-01-50161-A,OBUV,shares,stock,TQBR
141,4B02-01-45848-H-001P,RU000A0ZYLD2,bonds,stock,EQOB
142,1-03-35684-E,NKHP,shares,stock,TQBR
143,4B02-01-50020-A-001P,RU000A0ZYG37,bonds,stock,EQOB
144,4B02-08-32432-H,RU000A0ZYR91,bonds,stock,EQOB
145,4B02-06-32432-H,RU000A0JVWJ6,bonds,stock,EQOB
146,4B02-05-32432-H,RU000A0JY023,bonds,stock,TQOD
147,4B02-04-32432-H-001P,RU000A0JXPG2,bonds,stock,EQOB
148,4B02-03-32432-H-001P,RU000A0JXE06,bonds,stock,EQOB
149,4B02-04-32432-H,RU000A0JXPG2,bonds,stock,EQOB
150,4B02-01-31296-E-001P,RU000A0ZYLK7,bonds,stock,EQOB
151,4B020201000B001P,RU000A0ZYKF9,bonds,stock,EQOB
152,4B020101000B001P,RU000A0ZYG78,bonds,stock,EQOB
153,US98387E2054,FIVE,dr,stock,TQBR
154,4B02-01-00366-R-001P,RU000A0ZYU54,bonds,stock,EQOB
155,26225RMFS,SU26225RMFS1,bonds,stock,TQOB
156,26223RMFS,SU26223RMFS6,bonds,stock,TQOB
157,1-01-10214-A,MRKC,shares,stock,TQBR
158,1-01-00409-A,RUSI,shares,stock,TQBR
159,26224RMFS,SU26224RMFS4,bonds,stock,TQOB
160,4B02-01-00362-R,RU000A0ZYSS5,bonds,stock,EQOB
161,4B02-03-01556-A-001P,RU000A0JXY44,bonds,stock,EQOB
162,4B020403349B001P,RU000A0ZYJ42,bonds,stock,EQOB
163,RU000A0JS934,RU000A0JS934,bonds,stock,EQOB
164,4-02-00307-R-002P,RU000A0ZYJT2,bonds,stock,EQOB
165,52002RMFS,SU52002RMFS1,bonds,stock,TQOB
166,LU1483649825,RUSB,etf,stock,TQTF
167,LU1483649312,RUSE,etf,stock,TQTF
168,IE00BD3QJN10,FXDE,etf,stock,TQTF
169,IE00BD3QF110,FXAU,etf,stock,TQTF
170,IE00BD3QFB18,FXCN,etf,stock,TQTF
171,IE00BL3DYX33,FXMM,etf,stock,TQTF
172,IE00B7L7CP77,FXRB,etf,stock,TQTF
173,IE00BD3QJ757,FXIT,etf,stock,TQTF
174,IE00BD3QJ310,FXJP,etf,stock,TQTF
175,IE00B8XB7377,FXGD,etf,stock,TQTF
176,IE00BD5FH213,FXRU,etf,stock,TQTF
177,IE00BD3QHV53,FXUK,etf,stock,TQTF
178,IE00BD3QHZ91,FXUS,etf,stock,TQTF
179,IE00BQ1Y6480,FXRL,etf,stock,TQTF
180,4-02-00307-R-001P,RU000A0JXS26,bonds,stock,EQOB
181,4-03-00307-R-001P,RU000A0ZYLX0,bonds,stock,EQOB
182,4-01-00307-R-001P,RU000A0JX3M0,bonds,stock,EQOB
183,4-23-00004-T,RU000A0JT403,bonds,stock,EQOB
184,4-24-00004-T,RU000A0JT6B2,bonds,stock,EQOB
185,4B02-07-32432-H,RU000A0ZYNY4,bonds,stock,EQOB
186,4B02-08-32432-H-001P,RU000A0ZYR91,bonds,stock,EQOB
187,4B02-07-32432-H-001P,RU000A0ZYNY4,bonds,stock,EQOB
188,0089-59893097,RU000A0JR2C1,ppif,stock,TQIF
189,4B02-01-00382-R-001P,RU000A0ZZ9X2,bonds,stock,EQOB
190,1-01-12665-E,MRKP,shares,stock,TQBR
191,4B02-01-00331-R-001P,RU000A0ZZAT8,bonds,stock,EQOB
192,4B02-03-36261-R,RU000A0ZZ8U0,bonds,stock,EQOB
193,4-08-00004-T,RU000A0JR3G0,bonds,stock,EQOB
194,4-06-00004-T,RU000A0JR3H8,bonds,stock,EQOB
195,4-26-00004-T,RU000A0JS4Z7,bonds,stock,EQOB
196,4B02-01-36193-R-001P,RU000A0ZZ0L6,bonds,stock,EQOB
197,1-02-55033-E,ROST,shares,stock,TQBR
198,4-01-36417-R,RU000A0JTER1,bonds,stock,EQOB
199,4B02-08-56453-P,RU000A0ZZBV2,bonds,stock,EQOB
200,41501978B,RU000A0ZZE87,bonds,stock,EQQI
201,4B020601000B001P,RU000A0ZZBD0,bonds,stock,EQOB
202,4B020501000B001P,RU000A0ZZ6Q2,bonds,stock,EQOB
203,RU000A0JXT58,RU000A0JXT58,bonds,stock,EQOB
204,0968-94131582,RU000A0JR282,ppif,stock,TQIF
205,4B02-01-57320-D-001P,RU000A0JXPU3,bonds,stock,EQOB
206,4B02-01-00349-R-001P,RU000A0ZYCR1,bonds,stock,EQOB
207,3555,SBMX,ppif,stock,TQTF
208,RU000A0ZZDB0,RU000A0ZZDB0,bonds,stock,EQOB
209,4B02-10-32432-H-001P,RU000A0ZZ984,bonds,stock,EQOB
210,4B02-09-32432-H-001P,RU000A0ZZ1J8,bonds,stock,EQOB
211,4B02-11-32432-H-001P,RU000A0ZZAL5,bonds,stock,TQOD
212,GB00B0D5V538,RAVN,shares,stock,TQBR
213,4B02-06-01556-A-001P,RU000A0ZZAW2,bonds,stock,EQOB
214,4B02-07-01556-A-001P,RU000A0ZZBJ7,bonds,stock,EQOB
215,4B02-03-71794-H-001P,RU000A0ZYL55,bonds,stock,EQOB
216,IE00BG0C3K84,FXKZ,etf,stock,TQTF
217,4B02-02-00366-R-001P,RU000A0ZZNL8,bonds,stock,EQOB
218,3483,RU000A0ZZCD8,ppif,stock,TQQI
219,0177-71671092,RU000A0JR290,ppif,stock,TQIF
220,1-01-50531-A,FTRE,shares,stock,TQBR
221,4B02-01-00368-R-001P,RU000A0ZZCV0,bonds,stock,EQOB
222,3591,TATN,shares,stock,TQBR
223,4B02-01-00096-A-001P,RU000A0ZZZ17,bonds,stock,EQOB
224,1-01-22451-F,TGKN,shares,stock,TQBR
