,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
16,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Нижегородской области,RU34009NJG0,государственные облигации Нижегородской области с фиксированным купонным доходом и амортизацией долга,поддержание цены,2013-10-31 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JU3B6,bonds,stock,EQOB
17,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Акционерное общество ""Открытие Холдинг""",4-06-14406-A,облигации неконвертируемые процентные документарные на предъявителя серии 06 с обязательным централизованным хранением,поддержание цены,2013-12-25 00:00:00,,6 месяцев с возможной пролонгацией,Режим основных торгов,2016-09-21 00:00:00,2016-09-21 19:30:00,,,RU000A0JU2N3,bonds,stock,EQOB
18,Акционерное общество ВТБ Капитал,"Открытое акционерное общество ""Российские железные дороги""",4-30-65045-D,неконвертируемые процентные документарные облигации на предъявителя серии 30 с обязательным централизованным хранением,поддержание цены,2013-04-30 00:00:00,,2 года с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JUAH8,bonds,stock,EQOB
19,Публичное акционерное общество РОСБАНК,"Акционерное общество ""Коммерческий банк ДельтаКредит""",41403338B,"Жилищные облигации с ипотечным покрытием процентные документарные неконвертируемые серии 14-ИП на предъявителя, с обязательным централизованным хранением",поддержание цены,2014-04-16 00:00:00,,3 месяца с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JUJG1,bonds,stock,EQOB
20,"""Газпромбанк"" (Акционерное общество)","Публичное акционерное общество ""Мобильные ТелеСистемы""",4-08-04715-A,Документарные процентные неконвертируемые облигации на предъявителя серии 08 с обязательным централизованным хранением,поддержание цены,2014-05-15 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,,,,,RU000A0JR4J2,bonds,stock,EQOB
21,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Компания с ограниченной ответственностью ""Яндекс Н.В."" (Public Limited Liability Company Yandex N.V.)",NL0009805522,"Обыкновенные именные бездокументарные акции класса ""A""",поддержание цены,2014-06-03 00:00:00,,12 месяцев с возможной пролонгацией,T+,2017-08-08 00:00:00,2017-08-08 19:30:00,,,YNDX,shares,stock,TQBR
22,"""Азиатско-Тихоокеанский Банк"" (публичное акционерное общество)","Закрытое акционерное общество ""Ипотечный агент АТБ 2""",4-02-81584-H,"неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением класса ""А""",поддержание цены,2014-07-11 00:00:00,,12 месяцев с возможной пролонгацией,Режим основных торгов,2015-08-27 00:00:00,2015-08-27 19:30:00,,,RU000A0JUG15,bonds,stock,EQOB
23,Публичное акционерное общество РОСБАНК,"Акционерное общество ""Коммерческий банк ДельтаКредит""",41503338B,"Жилищные облигации с ипотечным покрытием процентные документарные неконвертируемые серии 15-ИП на предъявителя, с обязательным централизованным хранением",поддержание цены,2014-10-09 00:00:00,,2024-10-10 00:00:00,Режим основных торгов,,,,,RU000A0JUW23,bonds,stock,EQOB
24,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Акционерное общество ""Открытие Холдинг""",4-05-14406-A,облигации неконвертируемые процентные документарные на предъявителя серии 05 с обязательным централизованным хранением,поддержание цены,2014-10-24 00:00:00,,15.04.2015 с пролонгацией,Режим основных торгов,2016-09-21 00:00:00,2016-09-21 19:30:00,,,RU000A0JTX09,bonds,stock,EQOB
25,"Общество с ограниченной ответственностью ""АТОН""","""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)",10101978B,акции обыкновенные,поддержание цены,2015-06-30 00:00:00,,30.06.2016 с пролонгацией,T+,2016-05-18 00:00:00,2016-05-18 19:30:00,,,CBOM,shares,stock,TQBR
