,Полное наименование организации,Полное наименование эмитента,Наименование инструмента,Название ценной бумаги,Существо обязательств маркет-мейкера,Дата начала действия договора/соглашения,Дата и время раскрытия информации о заключении договора,Срок действия договора,Режим торгов *,Дата изменения,Дата и время раскрытия информации об изменении,Дата окончания (срока) действия договора/ исполнения обязательств по ц.б.,Дата и время раскрытия информации о Дате окончания (срока) действия договора/исполнения обязательств по ц.б.,code,market,engine,board
193,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
194,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
195,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,"поддержание спроса, предложения",2017-08-11 00:00:00,2017-08-14 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
196,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,"поддержание спроса, предложения",2017-08-15 00:00:00,2017-08-15 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
197,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,"поддержание спроса, предложения",2017-08-16 00:00:00,2017-08-16 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
198,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
199,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
200,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
201,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
202,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,"поддержание спроса, предложения",2018-04-16 00:00:00,2018-04-16 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
203,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
204,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Московская Биржа ММВБ-РТС""",1-05-08443-H,акции обыкновенные,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,MOEX,shares,stock,TQBR
205,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",1-01-00077-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,LKOH,shares,stock,TQBR
206,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",1-01-00077-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,LKOH,shares,stock,TQBR
207,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",1-01-00077-A,Акции обыкновенные,"поддержание спроса, предложения",2017-08-11 00:00:00,2017-08-14 19:30:00,31.12.2018 с пролонгацией,T+,,,,,LKOH,shares,stock,TQBR
208,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",1-01-00077-A,Акции обыкновенные,"поддержание спроса, предложения",2017-08-15 00:00:00,2017-08-15 19:30:00,31.12.2018 с пролонгацией,T+,,,,,LKOH,shares,stock,TQBR
209,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",1-01-00077-A,Акции обыкновенные,"поддержание спроса, предложения",2017-08-16 00:00:00,2017-08-16 19:30:00,31.12.2018 с пролонгацией,T+,,,,,LKOH,shares,stock,TQBR
210,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Нефтяная компания ""ЛУКОЙЛ""",1-01-00077-A,Акции обыкновенные,"поддержание спроса, предложения",2018-04-16 00:00:00,2018-04-16 19:30:00,31.12.2018 с пролонгацией,T+,,,,,LKOH,shares,stock,TQBR
211,"Акционерное общество ""Открытие Брокер""",Полиметалл Интернэшнл плс (Polymetal International plc),JE00B6T5S470,Акции обыкновенные бездокументарные именные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,POLY,shares,stock,TQBR
212,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Полиметалл Интернэшнл плс (Polymetal International plc),JE00B6T5S470,Акции обыкновенные бездокументарные именные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,POLY,shares,stock,TQBR
213,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Полиметалл Интернэшнл плс (Polymetal International plc),JE00B6T5S470,Акции обыкновенные бездокументарные именные,поддержание цены,2017-07-13 00:00:00,2017-07-14 19:30:00,16.01.2018 с пролонгацией,T+,2017-10-16 00:00:00,2017-10-16 19:30:00,,,POLY,shares,stock,TQBR
214,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Газпром""",1-02-00028-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,GAZP,shares,stock,TQBR
215,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Газпром""",1-02-00028-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,GAZP,shares,stock,TQBR
216,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Сбербанк России""",10301481B,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,SBER,shares,stock,TQBR
217,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Сбербанк России""",10301481B,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,SBER,shares,stock,TQBR
218,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,SIBN,shares,stock,TQBR
219,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,SIBN,shares,stock,TQBR
220,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
221,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
222,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
223,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
224,"Инвестиционный Банк ""ВЕСТА"" (Общество с ограниченной ответственностью)","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2017-03-22 00:00:00,2017-03-22 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
225,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2017-08-25 00:00:00,2017-08-25 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
226,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2017-09-26 00:00:00,2017-09-28 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
227,"Общество с ограниченной ответственностью Инвестиционная компания ""Фридом Финанс""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2017-10-26 00:00:00,2017-10-26 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
228,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2017-10-26 00:00:00,2017-10-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
229,"Общество с ограниченной ответственностью ""ИК ВЕЛЕС Капитал""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2018-04-30 00:00:00,2018-04-30 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
230,"Общество с ограниченной ответственностью ""РЕГИОН Инвестиции""","Публичное акционерное общество ""Газпром нефть""",1-01-00146-A,обыкновенные именные акции,поддержание цены,2018-05-04 00:00:00,2018-05-04 19:30:00,31.12.2018 с пролонгацией,T+,,,,,SIBN,shares,stock,TQBR
231,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Сбербанк России""",20301481B,Акции привилегированные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,SBERP,shares,stock,TQBR
232,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Сбербанк России""",20301481B,Акции привилегированные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-06-22 00:00:00,2016-06-22 19:30:00,,,SBERP,shares,stock,TQBR
233,"Акционерное общество ""Открытие Брокер""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",1-03-00161-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-08-08 00:00:00,2016-08-08 19:30:00,,,TATN,shares,stock,TQBR
234,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",1-03-00161-A,Акции обыкновенные,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,2016-02-29 19:30:00,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2016-08-08 00:00:00,2016-08-08 19:30:00,,,TATN,shares,stock,TQBR
235,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",1-03-00161-A,Акции обыкновенные,"поддержание спроса, предложения",2017-08-16 00:00:00,2017-08-16 19:30:00,31.12.2018 с пролонгацией,T+,2018-06-04 00:00:00,2018-06-06 19:30:00,,,TATN,shares,stock,TQBR
236,"Общество с ограниченной ответственностью ""АЛОР +""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",1-03-00161-A,Акции обыкновенные,"поддержание спроса, предложения",2017-08-11 00:00:00,2017-08-14 19:30:00,31.12.2018 с пролонгацией,T+,2018-06-04 00:00:00,2018-06-05 19:30:00,,,TATN,shares,stock,TQBR
237,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",1-03-00161-A,Акции обыкновенные,"поддержание спроса, предложения",2017-08-15 00:00:00,2017-08-15 19:30:00,31.12.2018 с пролонгацией,T+,2018-06-04 00:00:00,2018-06-05 19:30:00,,,TATN,shares,stock,TQBR
238,"Общество с ограниченной ответственностью ""Ренессанс Брокер""","Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина",1-03-00161-A,Акции обыкновенные,"поддержание спроса, предложения",2018-04-16 00:00:00,2018-04-16 19:30:00,31.12.2018 с пролонгацией,T+,2018-06-04 00:00:00,2018-06-06 19:30:00,,,TATN,shares,stock,TQBR
239,"Публичное акционерное общество ""Совкомбанк""","Акционерное общество ""АВТОБАН-Финанс""",4-01-82416-H,облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 01,поддержание цены,2016-07-14 00:00:00,2016-07-14 19:30:00,31.12.2016 с пролонгацией,Режим основных торгов,,,,,RU000A0JWM49,bonds,stock,EQOB
240,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""Селигдар""",2-01-32694-F,акции привилегированные,поддержание цены,2016-08-29 00:00:00,2016-08-29 19:30:00,01.09.2017 с пролонгацией,T+,,,,,SELGP,shares,stock,TQBR
241,"Общество с ограниченной ответственностью ""Инвестиционная компания ""Гелиус Капитал""","Публичное акционерное общество ""Селигдар""",2-01-32694-F,акции привилегированные,поддержание цены,2017-12-11 00:00:00,2017-12-11 19:30:00,31.12.2018 с пролонгацией,T+,,,,,SELGP,shares,stock,TQBR
242,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Общество с ограниченной ответственностью ""РСГ-Финанс""",4B02-06-36399-R,биржевые облигации неконвертируемые процентные документарные на предъявителя серии БО-06 с обязательным централизованным хранением,поддержание цены,2016-09-06 00:00:00,2016-09-06 19:30:00,28.02.2018 с пролонгацией,Режим основных торгов,,,,,RU000A0JWQX7,bonds,stock,EQOB
243,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""","Акционерное общество ""Открытие Холдинг""",4B02-04-14406-A,биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-04 с обязательным централизованным хранением,поддержание цены,2016-11-08 00:00:00,2016-11-08 19:30:00,30.04.2017 с пролонгацией,Режим основных торгов,,,,,RU000A0JUWV3,bonds,stock,EQOB
244,"Общество с ограниченной ответственностью ""Москва Сити Секьюритиз""","Общество с ограниченной ответственностью ""РЕГИОН Групп Лизинг""",4-01-36506-R,Документарные процентные неконвертируемые облигации на предъявителя с обязательным централизованным хранением серии 01,поддержание цены,2016-11-17 00:00:00,2016-11-17 19:30:00,30.11.2017 с пролонгацией,Режим основных торгов,2018-10-09 00:00:00,2018-10-08 19:30:00,,,RU000A0JWWX5,bonds,stock,EQOB
245,"Общество с ограниченной ответственностью ""АТОН""","Публичное акционерное общество ""Группа Компаний ПИК""",1-02-01556-A,Акции обыкновенные,поддержание цены,2016-11-22 00:00:00,2016-11-22 19:30:00,31.12.2016 с пролонгацией,T+,,,,,PIKK,shares,stock,TQBR
246,"Общество с ограниченной ответственностью ""Москва Сити Секьюритиз""","Публичное акционерное общество ""Группа Компаний ПИК""",1-02-01556-A,Акции обыкновенные,поддержание цены,2017-04-07 00:00:00,2017-04-07 19:30:00,30.03.2018 с пролонгацией,T+,,,,,PIKK,shares,stock,TQBR
247,"Акционерное общество ""Инвестиционная компания ""ФИНАМ""","Публичное акционерное общество ""Группа Компаний ПИК""",1-02-01556-A,Акции обыкновенные,поддержание цены,2017-04-20 00:00:00,2017-04-20 19:30:00,12.04.2018 с пролонгацией,T+,,,,,PIKK,shares,stock,TQBR
248,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""","Публичное акционерное общество Нефтегазовая компания ""РуссНефть""",1-02-39134-H,акции обыкновенные,поддержание цены,2016-11-25 00:00:00,2016-11-25 19:30:00,25.11.2017 с пролонгацией,T+,2016-12-19 00:00:00,2016-12-19 19:30:00,,,RNFT,shares,stock,TQBR
249,"Акционерное общество Инвестиционная Компания ""ЦЕРИХ Кэпитал Менеджмент""","Публичное акционерное общество Нефтегазовая компания ""РуссНефть""",1-02-39134-H,акции обыкновенные,поддержание цены,2016-11-25 00:00:00,2016-11-25 19:30:00,31.12.2017 с пролонгацией,T+,,,,,RNFT,shares,stock,TQBR
250,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""","Публичное акционерное общество Нефтегазовая компания ""РуссНефть""",1-02-39134-H,акции обыкновенные,поддержание цены,2018-03-26 00:00:00,2018-03-26 19:30:00,31.12.2018 с пролонгацией,T+,,,,,RNFT,shares,stock,TQBR
251,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
252,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
253,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
254,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
255,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
256,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
257,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
258,"Публичное акционерное общество ""Сбербанк России""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2017-12-08 00:00:00,2017-12-08 19:30:00,31.12.2017 с пролонгацией,РЕПО с Центральным контрагентом 1 день,,,,,SU26211RMFS1,bonds,stock,TQOB
259,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-02-01 00:00:00,2018-02-01 19:30:00,,,SU26211RMFS1,bonds,stock,TQOB
260,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
261,"""Эйч-эс-би-си Банк (РР)"" (Общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-04-06 00:00:00,2018-04-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
262,"Общество с ограниченной ответственностью ""УНИВЕР Капитал""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-10-23 00:00:00,2018-10-24 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
263,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
264,"Общество с ограниченной ответственностью ""АЛОР +""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-02 00:00:00,2018-11-06 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
265,"Публичное акционерное общество Банк ""Финансовая Корпорация Открытие""",Министерство финансов Российской Федерации,26211RMFS,облигации федерального займа с постоянным купонным доходом,поддержание цены,2018-11-23 00:00:00,2018-11-23 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU26211RMFS1,bonds,stock,TQOB
266,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
267,"Акционерное общество ""Инвестиционная компания ""Ай Ти Инвест""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2016-12-30 00:00:00,2017-01-04 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
268,"Акционерное общество ""Банк Кредит Свисс (Москва)""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2017-01-11 00:00:00,2017-01-11 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
269,"""Газпромбанк"" (Акционерное общество)",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2017-02-07 00:00:00,2017-02-07 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
270,"Публичное акционерное общество ""Бест Эффортс Банк""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2017-03-20 00:00:00,2017-03-20 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
271,"Банк ""Сберегательно-кредитного сервиса"" (общество с ограниченной ответственностью)",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2017-04-26 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
272,"Общество с ограниченной ответственностью ""Брокерская компания ""РЕГИОН""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2017-04-25 00:00:00,2017-04-27 19:30:00,30.12.2017 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
273,"Публичное акционерное общество ""Сбербанк России""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,"поддержание цены, спроса, предложения или объёма",2017-12-08 00:00:00,2017-12-08 19:30:00,31.12.2017 с пролонгацией,РЕПО с Центральным контрагентом 1 день,,,,,SU29010RMFS4,bonds,stock,TQOB
274,"""Акционерный коммерческий банк ""Держава"" публичное акционерное общество""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,"поддержание цены, спроса, предложения или объёма",2016-02-29 00:00:00,,31.12.2016 с пролонгацией,РЕПО с Центральным контрагентом 1 день,2018-02-01 00:00:00,2018-02-01 19:30:00,,,SU29010RMFS4,bonds,stock,TQOB
275,"Общество с ограниченной ответственностью ""Компания Брокеркредитсервис""",Министерство финансов Российской Федерации,29010RMFS,облигации федерального займа с переменным купонным доходом,поддержание цены,2018-02-26 00:00:00,2018-02-26 19:30:00,30.12.2018 с пролонгацией,T+,,,,,SU29010RMFS4,bonds,stock,TQOB
