,AFKS,ALRS,FEES,FIVE,HYDR,IRAO,MAGN,MFON,MOEX,MSNG,MTLR,MTSS,NLMK,NVTK,OGKB,PHOR,PLZL,RASP,RSTI,RTKM,SIBN,SNGS,TATNP,TRNFP,UPRO
2018-11-14,7320800,11865840,988570000,75920,1882303000,82647000,6832400,15170,14468090,19379000,816774,779790,3818550,1391730,34919000,38358,42290,2747460,96589000,2509940,818620,13182000,209780,579,9227000
2018-11-15,8645300,10641990,492400000,64204,684154000,37038000,5428900,53120,7791960,16742000,2360256,1523670,1899610,750790,36354000,14360,46708,4584050,121721000,1302060,310130,9453200,204550,506,10368000
2018-11-16,12593500,9356370,815980000,68248,662589000,60580000,3560600,28490,4177410,7963000,856935,1031900,1592710,533930,29196000,26027,26789,3334610,87967000,540550,416720,7260500,201790,991,3957000
2018-11-19,4535600,13657320,807140000,51997,444530000,54862000,6731000,62730,8916130,6100000,781493,1193380,2205620,994190,24118000,27089,54526,2414440,106219000,879850,518430,14096000,164760,565,5910000
2018-11-20,14293200,9704740,889070000,66965,654566000,52377000,10878000,62630,7324270,12966000,516210,6752010,2400330,1299800,69977000,74083,36115,1646390,137394000,3873650,535050,13685500,257400,673,5044000
2018-11-21,7715800,8819690,501540000,50970,553476000,61834000,11920900,52200,11171670,16520000,1057397,2913730,3529530,762950,26168000,124128,77790,652140,94524000,1683250,538020,9713600,350230,1299,7867000
2018-11-22,5160000,6015110,701630000,41631,731678000,43364000,11124800,13740,7619100,7063000,759801,804710,2233390,544100,14711000,35482,97034,2048720,75227000,308780,365560,11985800,245400,868,3641000
2018-11-23,5923200,6321140,707170000,81924,466048000,46334000,6370600,16560,5318350,2781000,633127,1684650,2620520,596450,27570000,33751,42574,2802230,154944000,702030,512500,8727100,431700,830,5306000
2018-11-26,8134100,7690510,1047680000,85403,806358000,88371000,8485800,15560,5509120,8073000,708634,2272480,2742170,1328590,119310000,70402,71596,1524940,102575000,1432640,427950,14767700,551630,1747,4890000
2018-11-27,18137000,7899830,634080000,60146,587270000,46022000,6817700,28470,7413080,8178000,2424132,1123170,3983900,712090,48615000,55522,64896,598920,35315000,490640,364360,10056200,284120,1366,3184000
2018-11-28,52974200,12882040,1365210000,122681,749202000,50386000,14146800,16840,6261330,18829000,931413,1064770,3979420,763700,19951000,42275,42610,461610,67882000,1505860,343130,9678400,332650,668,2216000
2018-11-29,19190900,8287220,1402730000,174556,1284414000,78937000,12119100,173890,8425650,46975000,701167,2145350,2884220,1337680,113479000,47484,39678,353630,220098000,1763030,527110,14406500,274610,1375,7524000
2018-11-30,14886400,17464200,777880000,264971,9086102000,118284000,17305200,39290,5782190,88421000,418591,2534260,4860840,994790,104171000,42590,95924,579780,363541000,825850,366740,15989200,160580,3298,11217000
2018-12-03,18395800,15674230,578850000,116013,2243449000,90699000,26053300,19560,7397800,35729000,674310,1641510,3296550,989970,100726000,18671,84432,622140,197943000,1360090,822070,17370900,473920,1037,18243000
2018-12-04,9458000,13613310,1034580000,155737,1167658000,98634000,6437400,4800,7434860,40843000,691651,910490,3515210,419750,60598000,32177,46105,445290,148192000,1448250,668750,10225400,379870,533,8984000
2018-12-05,9991100,7198960,582460000,238743,793728000,99405000,12265000,42490,5873980,20435000,441424,996460,5121780,513010,21941000,20580,37817,922430,89818000,1654210,410360,15412800,315770,634,4547000
2018-12-06,8477900,4387500,671930000,116567,663646000,94339000,9730900,68110,4218920,13873000,1325892,2675520,2729960,614180,32144000,12705,22684,794490,61136000,2536120,922740,17638300,437730,1158,7812000
2018-12-07,11582500,8130920,406290000,159645,921566000,127255000,13048400,41090,6758770,9015000,906902,4458240,3120750,712070,38591000,52170,42177,331820,93768000,1006840,709450,8755800,554360,1872,15726000
2018-12-10,13257600,10177800,999150000,72008,505485000,54218000,10095200,13500,5466350,15863000,778457,3131510,3756270,586960,68329000,18133,84801,1004320,89877000,1152530,572270,7408600,134210,675,7348000
2018-12-11,9801500,13933430,1128860000,76123,1341052000,105390000,11383500,97410,5002500,6185000,549407,4413910,2924490,799870,23524000,42867,76881,929600,109616000,810630,618900,9230800,191000,766,9604000
2018-12-12,7246100,8325140,753200000,50999,970789000,53688000,9611900,651030,6697790,13874000,533634,5669450,2212700,749280,116709000,34530,25329,1563830,172569000,1992470,330020,10913800,119790,1246,13816000
2018-12-13,7259300,11563590,675510000,85265,720912000,93103000,10827000,504090,6154630,11700000,480002,4195470,3788730,737190,17033000,32819,51222,616180,60074000,2094500,363570,10190800,196550,497,24054000
2018-12-14,9902100,7436430,992570000,50975,610204000,44728000,10079800,172410,6382320,10136000,556187,2196150,2139970,612610,48239000,79693,49780,479000,61610000,1550020,443110,6762900,153020,463,14510000
2018-12-17,7076300,5211100,1098300000,59989,1243626000,57517000,8326500,479340,9285880,14611000,793542,1364080,2375940,441720,32968000,29884,26276,291290,57866000,992290,402610,14629600,136030,1513,13767000
2018-12-18,8365500,13356320,766500000,179412,705373000,88593000,24517400,521850,10034540,21658000,1329940,1780640,2227400,671160,57000000,53133,58485,798160,78377000,2745070,752130,18957200,269700,1621,6131000
2018-12-19,8526600,7412670,1059510000,110203,1654963000,74903000,11127000,139880,8832200,22067000,688097,2928190,4514360,469820,50841000,72216,78850,947210,143559000,2879710,598470,16256400,473650,1384,13673000
2018-12-20,8378900,12197200,1515750000,165759,1190246000,99662000,7081900,70910,8273960,18560000,1209307,3346190,3775740,1255210,91956000,95301,116067,516900,108171000,4922270,585190,25764300,281680,2143,19062000
2018-12-21,15704600,11140740,847400000,149671,931338000,147502000,8080000,1273180,7741790,27947000,1256572,2427150,3069260,693060,119797000,78825,111087,492420,184947000,1147570,541080,31728500,418050,2724,13820000
