,RU000A0JNYN1,RU000A0JQHM1,RU000A0JQXG0,RU000A0JR6S8,RU000A0JR5F7,RU000A0JNUN9,RU000A0JSGV0,RU000A0JTU85,RU000A0JQ7X7,RU000A0JQ5Q5,RU000A0JQRD9,RU000A0JQ7Z2,RU000A0JU3B6,RU000A0JU2N3,RU000A0JUAH8,RU000A0JUJG1,RU000A0JR4J2,YNDX,RU000A0JUG15,RU000A0JUW23,RU000A0JTX09,RGSS,RU000A0JWBN0,RU000A0JVZA8,RU000A0JVT43,RU000A0JW118,RU000A0JWM49,RU000A0JWQX7,RU000A0JUWV3,RU000A0JWWX5,AGRO,RU000A0JXFC2,RU000A0JWYK8,RU000A0JXN13,RU000A0JXLM9,RU000A0JXTB5,RU000A0JT7G9,RU000A0JWP46,RU000A0JXUU3,RU000A0JXY85,RU000A0JXVY3,RU000A0JURB5,RU000A0ZYEB1,RU000A0JUBD5,GTRK,OBUV,RU000A0ZYG37,RU000A0JVWJ6,RU000A0JXE06,RU000A0ZYKF9,RU000A0ZYG78,RU000A0ZYU54,MRKC,RU000A0ZYSS5,RU000A0JXY44,RU000A0ZYJ42,RU000A0JS934,FXDE,FXAU,FXCN,FXMM,FXRB,FXIT,FXJP,FXGD,FXRU,FXUK,FXUS,FXRL,RU000A0JXS26,RU000A0ZYLX0,RU000A0JX3M0,RU000A0JT403,RU000A0JT6B2,RU000A0JR2C1,RU000A0ZZ9X2,MRKP,RU000A0ZZAT8,RU000A0ZZ8U0,RU000A0JR3G0,RU000A0JR3H8,RU000A0JS4Z7,RU000A0ZZ0L6,ROST,RU000A0JTER1,RU000A0ZZBV2,RU000A0ZZE87,RU000A0ZZBD0,RU000A0ZZ6Q2,RU000A0JXT58,RU000A0JR282,RU000A0JXPU3,RU000A0ZYCR1,RU000A0ZZDB0,RU000A0ZZ984,RU000A0ZZ1J8,RU000A0ZZAL5,RAVN,RU000A0ZZAW2,RU000A0ZZBJ7,RU000A0ZYL55,FXKZ,RU000A0ZZNL8,RU000A0JR290,RU000A0ZZCV0,RU000A0ZZZ17
2018-10-15,114,823,0,0,0,0,118197,0,7150,2,2550,15000,0,0,0,0,14,81153,0,0,0,418000,0,0,0,0,2,6,0,205,21953,162,927,320,0,0,0,3026,0,0,3337,0,1028,0,10,400,0,872,4406,2579,2651,0,13602000,594,829,646,4,3158,522,2250,17518,3345,4966,529,21088,544,1347,2944,2710,0,0,0,0,0,10100,10,30200000,845,0,0,0,65543,1909,330,0,0,,361,4005,4986,8400,6160,2,0,0,10762,0,200,0,1951,76,,0,0,8430,
2018-10-16,36984,119,0,0,0,0,1467,500,3,101,0,151105,0,0,0,0,0,225685,0,0,0,1223000,1,0,0,0,1,29,0,10,6085,70,187,60,0,5,0,11,0,100,871,0,2341,0,20,2320,0,3885,4117,1780,7277,0,3849000,1581,1344,124,11,764,282,1389,7227,1590,2572,903,12183,314,642,1612,514,0,0,0,20,20,4000,67,43760000,1281,0,30,20,10023,237,8690,0,0,,0,1778,0,6400,276,1218,0,30,5349,0,1500,115,0,292,5670,0,0,3366,
2018-10-17,46,5,0,0,0,0,1251,0,2600,7,0,2298,0,0,2,0,0,109279,0,0,66,500000,0,0,1,0,0,45,0,124,6775,292,106,1086,0,280,0,285,79,0,867,0,1438,0,40,4740,0,2,2329,22978,29227,0,8427000,146,1109,0,250,1987,1229,2577,19463,2241,4649,718,26258,1487,1437,3733,1228,0,0,0,0,215,9500,228,30070000,293,0,78490,0,53072,202,4320,0,5,,0,0,300,7000,186,2229,0,12,6143,0,14400,271,0,0,5424,0,0,6156,
2018-10-18,1,742,0,0,0,0,1219,0,2100,0,10450,99611,2,3,0,0,0,386264,0,0,3759,298000,0,10,0,0,36,3,0,2,1644,420,18,10,0,0,40,2683,0,0,4621,0,1217,0,10,8460,0,86,1446,358,37,0,21810000,200,731,0,0,654,821,1127,10174,1073,2053,573,7153,455,519,1436,1047,0,0,0,0,0,12700,177,58310000,604,0,35,0,0,155,50,0,0,,0,0,1,21400,518,0,0,5,7215,2,700,0,0,0,2637,0,0,3661,
2018-10-19,21,5739,0,0,0,0,238,1,1,0,20,99233,0,0,0,0,2,3394213,0,0,0,9023000,0,0,0,0,1,96,0,28,28208,540,284,841,0,50,0,327,0,0,5242,0,5987,0,30,550,0,5220,39128,3351,1356,0,10833000,32,2527,52,0,505,183,1165,18473,1923,23333,328,4950,341,322,1522,1270,0,0,0,0,0,9400,87,70010000,2847,0,0,2733,0,816,330,0,0,,0,0,0,8300,437,0,0,432,15001,0,13600,5,0,0,2787,0,0,2851,
2018-10-22,18,6493,0,0,0,200,258,25080,0,40,10104,277470,53,4,10000,0,2,3147286,0,0,0,5036000,4,0,1,0,1,0,2,71,23357,1170,417,3171,0,371,20,4300,0,0,5501,40,834,0,160,98310,0,17578,1651,58258,4058,0,5296000,1591,687,308,0,790,614,3240,31605,1437,3580,561,12760,622,377,2111,1259,0,0,0,0,0,9400,267,54790000,4436,0,0,0,100,291,5370,0,0,,0,200,0,11800,78,50,0,200,11853,2,3100,62,0,0,273,0,0,8238,
2018-10-23,102,11745,0,0,0,0,6982,17836,545,5,0,159475,100,0,0,0,0,1007555,0,0,2,2826000,0,0,0,0,2,0,0,55,14588,220,3509,11,0,779,0,106,0,0,305,0,2688,0,7050,6960,0,9284,17944,45476,34085,3000,5882000,101,3165,61,0,1309,399,1064,14046,982,3513,420,46571,356,490,2354,967,0,0,0,10201,0,4200,0,67290000,2080,0,0,630,56,203,770,0,0,,0,0,220,19300,40,69,0,3041,16,0,900,0,0,7,745,0,0,5943,
2018-10-24,224,22036,0,0,0,0,464890,1275,2,0,32,908434,4,0,3685,0,34,591064,0,0,0,4990000,1,0,0,0,1,105,0,1,8645,802,1479,2143,0,1007,0,58,0,0,494,0,3605,0,0,800,0,8208,2730,407,24108,0,6056000,624,376,150,0,823,244,825,17091,1520,3926,467,10605,868,912,1503,1216,0,0,0,0,29135,3800,156,37810000,3552,0,15,50,83,1338,1060,0,0,,0,0,0,6300,19,25,0,71,1324,0,100,0,60,40,2859,0,0,3914,
2018-10-25,3,1982,0,0,0,50,43,525,0,11,25586,543000,1424504,0,967,0,6,411197,0,0,0,2206000,438,0,0,0,8008,0,0,0,6283,320,601,149,0,2,0,1320,0,0,1516,0,2601,0,0,1770,0,2089,1771,5391,3386,0,4014000,114,115,192,0,817,396,1425,19017,1362,4628,429,14592,495,918,2892,715,0,0,0,0,0,1900,28,43220000,2609,0,0,9,152,2342,100,0,200051,,0,526,0,4300,2027,2272,0,66,7091,0,1400,51,20,20,963,0,0,1422,
2018-10-26,0,9171,0,0,0,0,9,0,9,0,32,239000,0,2,343,0,0,405340,0,0,0,1082000,0,0,89,0,1992,139,0,116,27497,690,1394,110,0,10,0,415,0,0,755,0,4730,0,10,335650,0,4016,5713,20833,17570,0,23414000,2203,84,0,0,462,238,1457,15949,1559,5001,316,11431,640,407,2084,1189,0,0,0,10000,0,6700,232,37500000,4104,0,0,1394,0,1040,520,0,0,,1935,12,10,9700,986,0,100,30,12269,0,1500,7,0,0,1431,0,0,2652,
