TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,23485,0,0.0
2018-10-02,46560,1469,3.16
2018-10-03,95537,0,0.0
2018-10-04,227387,4554,2.0
2018-10-05,20692,1414,6.83
2018-10-08,479846,7483,1.56
2018-10-09,37206,7933,21.32
2018-10-10,98888,15389,15.56
2018-10-11,363308,1886,0.52
2018-10-12,47404,10510,22.17
2018-10-15,20273,2160,10.65
2018-10-16,65479,12142,18.54
2018-10-17,164790,22312,13.54
2018-10-18,41753,15629,37.43
2018-10-19,2231137,32807,1.47
2018-10-22,129707,8504,6.56
2018-10-23,63388,20513,32.36
2018-10-24,174652,10633,6.09
2018-10-25,97910,31633,32.31
2018-10-26,89232,12149,13.62
2018-10-29,227043,6324,2.79
2018-10-30,50638,1797,3.55
2018-10-31,115568,11433,9.89
2018-11-01,506579,6653,1.31
2018-11-02,33963,931,2.74
2018-11-06,56933,11334,19.91
2018-11-07,697135,20007,2.87
2018-11-08,2803172,20986,0.75
2018-11-09,2349663,21281,0.91
2018-11-12,1848693,25709,1.39
2018-11-13,3115931,17226,0.55
2018-11-14,46284,4081,8.82
2018-11-15,474571,19132,4.03
2018-11-16,83211,12911,15.52
2018-11-19,31808,6788,21.34
2018-11-20,181644,26443,14.56
2018-11-21,206456,34358,16.64
2018-11-22,1350937,27359,2.03
2018-11-23,1103507,10754,0.97
2018-11-26,151429,14730,9.73
2018-11-27,32373,17630,54.46
2018-11-28,14580,3970,27.23
2018-11-29,5298835,43355,0.82
2018-11-30,76242,3090,4.05
2018-12-03,261959,22964,8.77
2018-12-04,109564,11698,10.68
2018-12-05,166859,8736,5.24
2018-12-06,54068,18161,33.59
2018-12-07,79299,1351,1.7
2018-12-10,74314,10298,13.86
2018-12-11,46762,6658,14.24
2018-12-12,77596,3923,5.06
2018-12-13,23231,12703,54.68
2018-12-14,136307,13401,9.83
2018-12-17,101432,11174,11.02
2018-12-18,71960,6861,9.53
2018-12-19,1369777,5590,0.41
2018-12-20,734625,17346,2.36
2018-12-21,1038806,11379,1.1
