TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,87063,95,0.11
2018-10-02,454957,486,0.11
2018-10-03,260528,44,0.02
2018-10-04,279035,2492,0.89
2018-10-05,777357,2237,0.29
2018-10-08,143199,4513,3.15
2018-10-09,1800390,30252,1.68
2018-10-10,93540,11072,11.84
2018-10-11,723959,11776,1.63
2018-10-12,1481008,22105,1.49
2018-10-15,711686,20755,2.92
2018-10-16,826341,13670,1.65
2018-10-17,521138,11530,2.21
2018-10-18,33827,8387,24.79
2018-10-19,367433,1274,0.35
2018-10-22,27537,5309,19.28
2018-10-23,821646,1979,0.24
2018-10-24,398135,23951,6.02
2018-10-25,111613,6477,5.8
2018-10-26,1114396,17360,1.56
2018-10-29,400865,274,0.07
2018-10-30,187781,5978,3.18
2018-10-31,571281,6333,1.11
2018-11-01,735606,1334,0.18
2018-11-02,255144,1016,0.4
2018-11-06,47976,2017,4.2
2018-11-07,773015,10090,1.31
2018-11-08,943836,14491,1.54
2018-11-09,1075425,2109,0.2
2018-11-12,226754,5790,2.55
2018-11-13,1210829,21648,1.79
2018-11-14,107731,17728,16.46
2018-11-15,1190709,10171,0.85
2018-11-16,99330,4303,4.33
2018-11-19,55170,4668,8.46
2018-11-20,230328,24684,10.72
2018-11-21,410425,14026,3.42
2018-11-22,484665,12704,2.62
2018-11-23,2704190,11914,0.44
2018-11-26,2038186,3283,0.16
2018-11-27,539138,7111,1.32
2018-11-28,397153,5405,1.36
2018-11-29,664956,26290,3.95
2018-11-30,247010,7566,3.06
2018-12-03,69576,13184,18.95
2018-12-04,256171,17311,6.76
2018-12-05,801902,9042,1.13
2018-12-06,147830,5448,3.69
2018-12-07,99641,1001,1.0
2018-12-10,51884,18593,35.84
2018-12-11,98989,21727,21.95
2018-12-12,131208,9675,7.37
2018-12-13,411039,16948,4.12
2018-12-14,123833,4985,4.03
2018-12-17,1753817,14114,0.8
2018-12-18,5494505,23129,0.42
2018-12-19,3514616,17300,0.49
2018-12-20,192497,31911,16.58
2018-12-21,3063182,6791,0.22
