TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,237325,2659,1.12
2018-10-02,1141056,7507,0.66
2018-10-03,133554,18507,13.86
2018-10-04,1539248,23617,1.53
2018-10-05,436070,2858,0.66
2018-10-08,180952,19197,10.61
2018-10-09,268315,19744,7.36
2018-10-10,78579,3165,4.03
2018-10-11,424779,18827,4.43
2018-10-12,1248327,40702,3.26
2018-10-15,389120,32818,8.43
2018-10-16,359845,25563,7.1
2018-10-17,549143,29055,5.29
2018-10-18,150024,9053,6.03
2018-10-19,378450,12520,3.31
2018-10-22,1259346,24368,1.93
2018-10-23,373098,41654,11.16
2018-10-24,39285,7792,19.83
2018-10-25,757831,25385,3.35
2018-10-26,491501,19600,3.99
2018-10-29,345147,10113,2.93
2018-10-30,221248,12141,5.49
2018-10-31,406592,14875,3.66
2018-11-01,296854,25845,8.71
2018-11-02,34109,20096,58.92
2018-11-06,135851,480,0.35
2018-11-07,173541,7781,4.48
2018-11-08,358085,38019,10.62
2018-11-09,434076,18847,4.34
2018-11-12,176020,56757,32.24
2018-11-13,127114,22340,17.57
2018-11-14,644857,66816,10.36
2018-11-15,458898,24502,5.34
2018-11-16,236017,31682,13.42
2018-11-19,58367,9596,16.44
2018-11-20,173069,19981,11.55
2018-11-21,39091,13941,35.66
2018-11-22,63914,5073,7.94
2018-11-23,266595,31822,11.94
2018-11-26,265186,27360,10.32
2018-11-27,485057,31979,6.59
2018-11-28,530987,16906,3.18
2018-11-29,581007,34661,5.97
2018-11-30,1903009,28826,1.51
2018-12-03,486256,20952,4.31
2018-12-04,469497,43581,9.28
2018-12-05,296339,41467,13.99
2018-12-06,137210,19521,14.23
2018-12-07,67432,27087,40.17
2018-12-10,24764,10376,41.9
2018-12-11,17830,5413,30.36
2018-12-12,57373,13234,23.07
2018-12-13,30428,11080,36.41
2018-12-14,98975,915,0.92
2018-12-17,58941,21954,37.25
2018-12-18,131424,2067,1.57
2018-12-19,102920,15723,15.28
2018-12-20,204552,22933,11.21
2018-12-21,20494,7027,34.29
