TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,442945,7122,1.61
2018-10-02,1167039,9019,0.77
2018-10-03,921149,12584,1.37
2018-10-04,4304462,24948,0.58
2018-10-05,753124,8035,1.07
2018-10-08,2653320,31853,1.2
2018-10-09,714183,35896,5.03
2018-10-10,1177418,26534,2.25
2018-10-11,645757,36051,5.58
2018-10-12,3668696,32750,0.89
2018-10-15,1384132,33216,2.4
2018-10-16,1841986,27534,1.49
2018-10-17,998572,34330,3.44
2018-10-18,715854,26747,3.74
2018-10-19,1185726,13663,1.15
2018-10-22,1173849,17876,1.52
2018-10-23,978806,48720,4.98
2018-10-24,921776,41417,4.49
2018-10-25,2748563,29587,1.08
2018-10-26,280225,12246,4.37
2018-10-29,576713,40723,7.06
2018-10-30,799775,32678,4.09
2018-10-31,510386,16166,3.17
2018-11-01,68031,6086,8.95
2018-11-02,404071,16882,4.18
2018-11-06,180088,13671,7.59
2018-11-07,476714,5887,1.23
2018-11-08,1645846,48588,2.95
2018-11-09,1021371,49858,4.88
2018-11-12,250436,15161,6.05
2018-11-13,401168,40718,10.15
2018-11-14,2368734,74589,3.15
2018-11-15,3093408,40774,1.32
2018-11-16,257338,20327,7.9
2018-11-19,296765,17131,5.77
2018-11-20,208188,19702,9.46
2018-11-21,92819,427,0.46
2018-11-22,166474,10082,6.06
2018-11-23,790742,11416,1.44
2018-11-26,588593,24287,4.13
2018-11-27,861749,56959,6.61
2018-11-28,246406,24305,9.86
2018-11-29,1392555,27509,1.98
2018-11-30,853049,38529,4.52
2018-12-03,1772230,40851,2.31
2018-12-04,2702233,38492,1.42
2018-12-05,452005,28179,6.23
2018-12-06,155129,412,0.27
2018-12-07,501994,11001,2.19
2018-12-10,36028,11796,32.74
2018-12-11,65832,17544,26.65
2018-12-12,43557,3713,8.52
2018-12-13,20691,6789,32.81
2018-12-14,454288,0,0.0
2018-12-17,420828,35269,8.38
2018-12-18,117340,8871,7.56
2018-12-19,92120,9339,10.14
2018-12-20,649895,36376,5.6
2018-12-21,423416,21377,5.05
