,Средний процент
ОФЗ 25083,4.8
ОФЗ 26205,19.43
ОФЗ 26207,5.45
ОФЗ 26209,23.18
ОФЗ 26210,7.38
ОФЗ 26211,23.35
ОФЗ 26212,9.1
ОФЗ 26214,10.59
ОФЗ 26215,15.79
ОФЗ 26217,11.1
ОФЗ 26218,12.23
ОФЗ 26219,8.71
ОФЗ 26220,10.31
ОФЗ 26221,15.72
ОФЗ 26222,12.37
ОФЗ 26223,9.99
ОФЗ 26224,10.04
ОФЗ 26225,18.28
ОФЗ 29006,10.17
ОФЗ 29009,11.56
ОФЗ 29010,6.78
ОФЗ 29011,4.79
ОФЗ 29012,7.46
ОФЗ 52001,20.1
ОФЗ 52002,24.4
