TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,3295,0,0.0
2018-10-02,4818,0,0.0
2018-10-03,1233144,69,0.01
2018-10-04,56172,2292,4.08
2018-10-05,2322,1520,65.46
2018-10-08,2805,177,6.31
2018-10-09,11643,2732,23.46
2018-10-10,1675,977,58.33
2018-10-11,50970,0,0.0
2018-10-12,199610,7348,3.68
2018-10-15,3671,143,3.9
2018-10-16,2270,1705,75.11
2018-10-17,2901,544,18.75
2018-10-18,6960,1161,16.68
2018-10-19,2355,170,7.22
2018-10-22,107207,770,0.72
2018-10-23,2478,1597,64.45
2018-10-24,3190,2839,89.0
2018-10-25,2043,830,40.63
2018-10-26,15623,5440,34.82
2018-10-29,1980,1361,68.74
2018-10-30,3654,1907,52.19
2018-10-31,503,0,0.0
2018-11-01,83,0,0.0
2018-11-02,3162,163,5.15
2018-11-06,3638,816,22.43
2018-11-07,25988,5002,19.25
2018-11-08,5433,11,0.2
2018-11-09,61460,10223,16.63
2018-11-12,9993,3297,32.99
2018-11-13,746,0,0.0
2018-11-14,332661,5041,1.52
2018-11-15,411205,5644,1.37
2018-11-16,136180,7823,5.74
2018-11-19,26979,878,3.25
2018-11-20,501844,5134,1.02
2018-11-21,558136,35,0.01
2018-11-22,11286,7052,62.48
2018-11-23,14758,158,1.07
2018-11-26,2196,817,37.2
2018-11-27,23078,7155,31.0
2018-11-28,110734,10226,9.23
2018-11-29,2491,2035,81.69
2018-11-30,1841,19,1.03
2018-12-03,22998,199,0.87
2018-12-04,5413,4934,91.15
2018-12-05,152871,15232,9.96
2018-12-06,1658,31,1.87
2018-12-07,51576,660,1.28
2018-12-10,1685,336,19.94
2018-12-11,2465,1424,57.77
2018-12-12,7366,1989,27.0
2018-12-13,10425,5012,48.08
2018-12-14,498,17,3.41
2018-12-17,6984,41,0.59
2018-12-18,951,631,66.35
2018-12-19,4073,2995,73.53
2018-12-20,19317,171,0.89
2018-12-21,6023,476,7.9
