TRADEDATE,"Объем всех сделок, в шт. ценных бумаг","Объем сделок Маркет-мейкеров, в шт. ценных бумаг","Процент сделок ММ среди всех сделок, в %"
2018-10-01,104893,0,0.0
2018-10-02,40941,0,0.0
2018-10-03,1778381,50,0.0
2018-10-04,2628,0,0.0
2018-10-05,4958,0,0.0
2018-10-08,1728,541,31.31
2018-10-09,4622,2932,63.44
2018-10-10,270435,5000,1.85
2018-10-11,1067,0,0.0
2018-10-12,878,671,76.42
2018-10-15,11514,0,0.0
2018-10-16,325406,7,0.0
2018-10-17,1290327,15003,1.16
2018-10-18,2536,1258,49.61
2018-10-19,34923,107,0.31
2018-10-22,495094,6450,1.3
2018-10-23,203847,20273,9.95
2018-10-24,1144796,15138,1.32
2018-10-25,472698,5311,1.12
2018-10-26,13607,45,0.33
2018-10-29,9095,6222,68.41
2018-10-30,92405,15041,16.28
2018-10-31,80170,0,0.0
2018-11-01,21410,1167,5.45
2018-11-02,38976,11095,28.47
2018-11-06,141981,0,0.0
2018-11-07,612823,486,0.08
2018-11-08,380595,13362,3.51
2018-11-09,80047,13312,16.63
2018-11-12,1469658,35876,2.44
2018-11-13,1188412,8372,0.7
2018-11-14,1452942,13105,0.9
2018-11-15,116009,392,0.34
2018-11-16,306424,15065,4.92
2018-11-19,788894,12992,1.65
2018-11-20,1277364,10104,0.79
2018-11-21,682262,25077,3.68
2018-11-22,223615,5143,2.3
2018-11-23,748626,25607,3.42
2018-11-26,675755,11001,1.63
2018-11-27,86709,11574,13.35
2018-11-28,203691,221,0.11
2018-11-29,565635,9769,1.73
2018-11-30,1213114,11303,0.93
2018-12-03,17961,351,1.95
2018-12-04,293291,5891,2.01
2018-12-05,181502,26174,14.42
2018-12-06,364053,16108,4.42
2018-12-07,312668,273,0.09
2018-12-10,18589,9001,48.42
2018-12-11,249994,16801,6.72
2018-12-12,49162,5467,11.12
2018-12-13,8938,2431,27.2
2018-12-14,33563,2000,5.96
2018-12-17,280773,5001,1.78
2018-12-18,68388,17773,25.99
2018-12-19,62387,7097,11.38
2018-12-20,61746,5132,8.31
2018-12-21,175959,6433,3.66
